P	Target	Ref
YNL053W	YBL016W	BioGRID
YER075C	YBL016W	BioGRID
YIL035C	YGR196C	BioGRID
YBR160W	YOR178C	BioGRID
YPR119W	YOR178C	BioGRID
YPL042C	YPL248C	BioGRID
YNL025C	YPL248C	BioGRID
YBR160W	YPL248C	BioGRID
YDL108W	YPL248C	BioGRID
YPR025C	YPL248C	BioGRID
YDR477W	YER027C	BioGRID
YIL035C	YER027C	BioGRID
YOR061W	YER027C	BioGRID
YGL019W	YER027C	BioGRID
YOR039W	YER027C	BioGRID
YKL198C	YFL021W	BioGRID
YDL028C	YDR211W	BioGRID
YPL042C	YEL009C	BioGRID
YPR025C	YEL009C	BioGRID
YPL031C	YEL009C	BioGRID
YNL289W	YEL009C	BioGRID
YHR071W	YEL009C	BioGRID
YDR477W	YGR252W	BioGRID
YNL307C	YDL226C	BioGRID
YIL035C	YDL226C	BioGRID
YBR160W	YDL226C	BioGRID
YPR119W	YDL226C	BioGRID
YBR160W	YMR255W	BioGRID
YPR119W	YMR255W	BioGRID
YKL198C	YDR309C	BioGRID
YBR160W	YDR309C	BioGRID
YPR119W	YDR309C	BioGRID
YBR160W	YDR507C	BioGRID
YLR019W	YDR507C	BioGRID
YPR119W	YDR507C	BioGRID
YPL042C	YDR507C	BioGRID
YBR160W	YER054C	BioGRID
YPL141C	YPL137C	BioGRID
YBR160W	YAL031C	BioGRID
YBR160W	YDR096W	BioGRID
YBR136W	YER133W	BioGRID
YBL088C	YER133W	BioGRID
YPL141C	YMR311C	BioGRID
YDL101C	YDL207W	BioGRID
YDL025C	YEL046C	BioGRID
YKL139W	YDR508C	BioGRID
YKL048C	YHR005C	BioGRID
YKL139W	YDL022W	BioGRID
YJL164C	YPR160W	BioGRID
YOR061W	YMR281W	BioGRID
YKL139W	YKL152C	BioGRID
YKL126W	YKR067W	BioGRID
YDL028C	YJR090C	BioGRID
YGR262C	YER174C	BioGRID
YNL307C	YFR015C	BioGRID
YNL307C	YLR258W	BioGRID
YPL031C	YLR258W	BioGRID
YGL134W	YLR258W	BioGRID
YKL139W	YEL017W	BioGRID
YBR160W	YMR192W	BioGRID
YPR119W	YMR192W	BioGRID
YBR160W	YOR070C	BioGRID
YBR160W	YDL234C	BioGRID
YBR160W	YJL165C	BioGRID
YNL307C	YJL165C	BioGRID
YBR160W	YOR358W	BioGRID
YCR008W	YDL223C	BioGRID
YJL128C	YDL223C	BioGRID
YNL032W	YDL223C	BioGRID
YOL045W	YDL223C	BioGRID
YNL307C	YDL223C	BioGRID
YIL042C	YDL223C	BioGRID
YDL188C	YDL223C	BioGRID
YBR160W	YDL223C	BioGRID
YBR276C	YDL223C	BioGRID
YFR014C	YDL223C	BioGRID
YNL298W	YDL223C	BioGRID
YBR160W	YDR458C	BioGRID
YPR119W	YDR458C	BioGRID
YIR026C	YBL032W	BioGRID
YHR135C	YBL032W	BioGRID
YBR160W	YOR227W	BioGRID
YDR477W	YOR227W	BioGRID
YDR523C	YBR009C	BioGRID
YPL153C	YBR009C	BioGRID
YIL035C	YNL030W	BioGRID
YOR061W	YNL030W	BioGRID
YGL019W	YNL030W	BioGRID
YOR039W	YNL030W	BioGRID
YNL032W	YPL127C	BioGRID
YDR477W	YBR010W	BioGRID
YER133W	YBR010W	BioGRID
YDR477W	YNL031C	BioGRID
YER133W	YNL031C	BioGRID
YJL128C	YLR113W	BioGRID
YER089C	YLR113W	BioGRID
YBL056W	YLR113W	BioGRID
YDL006W	YLR113W	BioGRID
YBR136W	YIL072W	BioGRID
YBL088C	YIL072W	BioGRID
YDR477W	YIL112W	BioGRID
YBR160W	YIL112W	BioGRID
YPR119W	YIL112W	BioGRID
YPL153C	YBR215W	BioGRID
YBR136W	YDR138W	BioGRID
YBL088C	YDR138W	BioGRID
YBR160W	YOL123W	BioGRID
YDL028C	YPL204W	BioGRID
YDL028C	YOL133W	BioGRID
YKL048C	YKL101W	BioGRID
YLR113W	YKL101W	BioGRID
YKL101W	YBR133C	BioGRID
YBR136W	YFL014W	BioGRID
YBL088C	YFL014W	BioGRID
YCR079W	YFL014W	BioGRID
YIL042C	YFL014W	BioGRID
YNL307C	YFL014W	BioGRID
YBR136W	YBR072W	BioGRID
YBL088C	YBR072W	BioGRID
YDL047W	YCR021C	BioGRID
YJL128C	YDR171W	BioGRID
YDL134C	YDR171W	BioGRID
YBR136W	YDR225W	BioGRID
YBR136W	YBL003C	BioGRID
YHL007C	YDR224C	BioGRID
YLR019W	YBL002W	BioGRID
YBR136W	YBL002W	BioGRID
YBL088C	YBL002W	BioGRID
YJL164C	YGL253W	BioGRID
YER133W	YGL253W	BioGRID
YDR028C	YGL253W	BioGRID
YBR160W	YHR094C	BioGRID
YLR113W	YHR094C	BioGRID
YNL298W	YMR295C	BioGRID
YBR059C	YBR157C	BioGRID
YBR160W	YJL146W	BioGRID
YBR136W	YFL013C	BioGRID
YBL088C	YFL013C	BioGRID
YBR136W	YOR189W	BioGRID
YBL088C	YOR189W	BioGRID
YKL166C	YFR017C	BioGRID
YFL033C	YNL157W	BioGRID
YDL188C	YHR132W-A	BioGRID
YBR160W	YHR132W-A	BioGRID
YPR119W	YHR132W-A	BioGRID
YMR139W	YJR094C	BioGRID
YFL029C	YJL106W	BioGRID
YOR061W	YLR309C	BioGRID
YBR136W	YGL150C	BioGRID
YBL088C	YGL150C	BioGRID
YBR160W	YNL106C	BioGRID
YPR119W	YNL106C	BioGRID
YBR160W	YOR109W	BioGRID
YPR119W	YOR109W	BioGRID
YBR136W	YLR095C	BioGRID
YBL088C	YLR095C	BioGRID
YBR160W	YPL209C	BioGRID
YPR119W	YPL209C	BioGRID
YBR160W	YPL242C	BioGRID
YPR119W	YPL242C	BioGRID
YLR361C	YHR079C	BioGRID
YDL101C	YIL026C	BioGRID
YKL139W	YBR086C	BioGRID
YKL126W	YBR086C	BioGRID
YBR160W	YBR245C	BioGRID
YBR160W	YOR304W	BioGRID
YBR136W	YOR304W	BioGRID
YBL088C	YOR304W	BioGRID
YPL153C	YGL133W	BioGRID
YJL128C	YDR475C	BioGRID
YBR160W	YPR141C	BioGRID
YPR119W	YPR141C	BioGRID
YBR160W	YCL055W	BioGRID
YBR160W	YPL269W	BioGRID
YLR210W	YPL269W	BioGRID
YPR120C	YPL269W	BioGRID
YBR160W	YHR158C	BioGRID
YPR119W	YHR158C	BioGRID
YBR160W	YHR102W	BioGRID
YPR119W	YHR102W	BioGRID
YDR477W	YDR122W	BioGRID
YBR160W	YLR096W	BioGRID
YPR119W	YLR096W	BioGRID
YFL029C	YDL108W	BioGRID
YKL048C	YOR233W	BioGRID
YBR160W	YOR233W	BioGRID
YPR119W	YOR233W	BioGRID
YBR160W	YKL168C	BioGRID
YDL159W	YGR040W	BioGRID
YKL198C	YHL003C	BioGRID
YPL031C	YOR171C	BioGRID
YNL289W	YOR171C	BioGRID
YDL127W	YOR171C	BioGRID
YBR136W	YOR123C	BioGRID
YBL088C	YOR123C	BioGRID
YML057W	YOR123C	BioGRID
YBR160W	YJR070C	BioGRID
YBR160W	YGL090W	BioGRID
YPR119W	YGL090W	BioGRID
YBR160W	YDR439W	BioGRID
YPR119W	YDR439W	BioGRID
YIL035C	YFR024C-A	BioGRID
YBR136W	YGR244C	BioGRID
YBL088C	YGR244C	BioGRID
YBR160W	YAL024C	BioGRID
YPR119W	YAL024C	BioGRID
YBR160W	YDL182W	BioGRID
YBR160W	YDL131W	BioGRID
YPL209C	YJL013C	BioGRID
YBR160W	YJL013C	BioGRID
YJL164C	YDR005C	BioGRID
YIL035C	YDR005C	BioGRID
YOR061W	YDR005C	BioGRID
YGL019W	YDR005C	BioGRID
YOR039W	YDR005C	BioGRID
YHR205W	YDR005C	BioGRID
YNL307C	YOL060C	BioGRID
YBR160W	YKL093W	BioGRID
YPL153C	YDL003W	BioGRID
YMR001C	YDL003W	BioGRID
YBR136W	YDL003W	BioGRID
YBL088C	YDL003W	BioGRID
YDL017W	YBL023C	BioGRID
YBR160W	YEL032W	BioGRID
YFR028C	YEL032W	BioGRID
YPR119W	YEL032W	BioGRID
YBR160W	YPR019W	BioGRID
YDL017W	YPR019W	BioGRID
YBR136W	YPR019W	BioGRID
YDL017W	YGL201C	BioGRID
YIL035C	YNL173C	BioGRID
YOL045W	YNL173C	BioGRID
YBR160W	YGL197W	BioGRID
YPR119W	YGL197W	BioGRID
YBL088C	YBR136W	BioGRID
YBR136W	YLR288C	BioGRID
YBL088C	YLR288C	BioGRID
YPL042C	YDL005C	BioGRID
YDL108W	YOR174W	BioGRID
YPR025C	YOR174W	BioGRID
YBR136W	YPL023C	BioGRID
YBL088C	YPL023C	BioGRID
YBR160W	YIL046W	BioGRID
YDL028C	YKL089W	BioGRID
YPL209C	YKL089W	BioGRID
YBR160W	YKL089W	BioGRID
YDR477W	YGL035C	BioGRID
YBR160W	YGL035C	BioGRID
YPR119W	YGL035C	BioGRID
YBR160W	YMR036C	BioGRID
YHR030C	YPL140C	BioGRID
YPL141C	YNL076W	BioGRID
YBR160W	YNL074C	BioGRID
YPR119W	YNL074C	BioGRID
YPL042C	YNL074C	BioGRID
YKL126W	YNL074C	BioGRID
YGR262C	YNL074C	BioGRID
YKL198C	YNL074C	BioGRID
YBR136W	YMR167W	BioGRID
YBL088C	YMR167W	BioGRID
YDL101C	YKR095W	BioGRID
YBR160W	YKR095W	BioGRID
YPL153C	YKR095W	BioGRID
YDL028C	YIL149C	BioGRID
YBR160W	YLL061W	BioGRID
YBR160W	YLR190W	BioGRID
YBR160W	YIL106W	BioGRID
YPR119W	YIL106W	BioGRID
YBR160W	YFL034C-B	BioGRID
YBR160W	YPL082C	BioGRID
YKL198C	YJR002W	BioGRID
YDR477W	YNR024W	BioGRID
YBR136W	YCL061C	BioGRID
YBL088C	YCL061C	BioGRID
YPL153C	YCL061C	BioGRID
YKL126W	YDR033W	BioGRID
YDL047W	YDR033W	BioGRID
YOL045W	YDR033W	BioGRID
YDL101C	YKL142W	BioGRID
YBR160W	YOR066W	BioGRID
YBR160W	YKR077W	BioGRID
YBR160W	YLR219W	BioGRID
YBR160W	YDR097C	BioGRID
YBR136W	YDR097C	BioGRID
YBL088C	YDR097C	BioGRID
YPR119W	YDR097C	BioGRID
YBR160W	YLR116W	BioGRID
YDR477W	YMR037C	BioGRID
YER133W	YMR037C	BioGRID
YDR028C	YMR037C	BioGRID
YBR160W	YKL062W	BioGRID
YKL139W	YKL062W	BioGRID
YKL198C	YDR208W	BioGRID
YBR160W	YAR033W	BioGRID
YGR203W	YJL123C	BioGRID
YBR160W	YPL070W	BioGRID
YPR119W	YPL070W	BioGRID
YMR104C	YMR109W	BioGRID
YHR030C	YGL122C	BioGRID
YJR059W	YKR048C	BioGRID
YIL035C	YKR048C	BioGRID
YOR061W	YKR048C	BioGRID
YGL019W	YKR048C	BioGRID
YOR039W	YKR048C	BioGRID
YDL230W	YOL070C	BioGRID
YPL042C	YOL070C	BioGRID
YBR160W	YOL070C	BioGRID
YBR160W	YLR457C	BioGRID
YDL134C	YLR457C	BioGRID
YIL035C	YDR397C	BioGRID
YOR061W	YDR397C	BioGRID
YGL019W	YDR397C	BioGRID
YOR039W	YDR397C	BioGRID
YPL140C	YBL024W	BioGRID
YBR160W	YBL024W	BioGRID
YBR160W	YOR372C	BioGRID
YPR119W	YOR372C	BioGRID
YBR136W	YOR372C	BioGRID
YBL088C	YOR372C	BioGRID
YDL101C	YLR265C	BioGRID
YMR001C	YJL076W	BioGRID
YBR160W	YJL076W	BioGRID
YPR119W	YJL076W	BioGRID
YPL153C	YJL076W	BioGRID
YBL088C	YMR309C	BioGRID
YBR136W	YNL123W	BioGRID
YBL088C	YNL123W	BioGRID
YBR160W	YOR056C	BioGRID
YKL198C	YPL043W	BioGRID
YPL031C	YIL038C	BioGRID
YBR160W	YPR072W	BioGRID
YDL101C	YDR432W	BioGRID
YOR231W	YDR432W	BioGRID
YMR139W	YDR432W	BioGRID
YMR216C	YDR432W	BioGRID
YJR066W	YNL183C	BioGRID
YIL035C	YDR043C	BioGRID
YOR061W	YDR043C	BioGRID
YGL019W	YDR043C	BioGRID
YOR039W	YDR043C	BioGRID
YKL126W	YNL156C	BioGRID
YDL028C	YPL233W	BioGRID
YPL153C	YJL041W	BioGRID
YBR160W	YML059C	BioGRID
YJL164C	YDR001C	BioGRID
YBR160W	YDR001C	BioGRID
YPL153C	YER006W	BioGRID
YBR160W	YOR098C	BioGRID
YPL153C	YOR098C	BioGRID
YDL101C	YIL115C	BioGRID
YBR160W	YIL115C	BioGRID
YPR119W	YIL115C	BioGRID
YNL307C	YLR335W	BioGRID
YPL153C	YLR335W	BioGRID
YDL230W	YLR335W	BioGRID
YBL009W	YLR335W	BioGRID
YBR136W	YLR335W	BioGRID
YBL088C	YLR335W	BioGRID
YBR160W	YMR153W	BioGRID
YKL198C	YAR002W	BioGRID
YBR160W	YAR002W	BioGRID
YPR119W	YAR002W	BioGRID
YPL153C	YAR002W	BioGRID
YBR160W	YDL089W	BioGRID
YPR119W	YDL089W	BioGRID
YDR477W	YHR195W	BioGRID
YBR160W	YHR195W	BioGRID
YBR160W	YPR091C	BioGRID
YBR160W	YHL029C	BioGRID
YPR119W	YHL029C	BioGRID
YDL028C	YGR179C	BioGRID
YDL188C	YIL136W	BioGRID
YBL105C	YHL020C	BioGRID
YJL164C	YHL020C	BioGRID
YIL035C	YHL020C	BioGRID
YOR061W	YHL020C	BioGRID
YGL019W	YHL020C	BioGRID
YOR039W	YHL020C	BioGRID
YNL154C	YPR075C	BioGRID
YHR135C	YPR075C	BioGRID
YBR160W	YML065W	BioGRID
YBR160W	YBR060C	BioGRID
YPR120C	YBR060C	BioGRID
YFR028C	YBR060C	BioGRID
YBR160W	YPR162C	BioGRID
YBR160W	YHR118C	BioGRID
YPR120C	YHR118C	BioGRID
YFR028C	YHR118C	BioGRID
YDR477W	YHR073W	BioGRID
YHR004C	YMR165C	BioGRID
YAL009W	YMR165C	BioGRID
YBR160W	YMR165C	BioGRID
YBR160W	YDR348C	BioGRID
YDL134C	YDR348C	BioGRID
YIL095W	YIR006C	BioGRID
YPL031C	YDL173W	BioGRID
YBR097W	YDL173W	BioGRID
YGR203W	YDL173W	BioGRID
YBR160W	YDL173W	BioGRID
YPR119W	YDL173W	BioGRID
YBR160W	YGR178C	BioGRID
YPR119W	YGR178C	BioGRID
YDL230W	YBR233W	BioGRID
YPL031C	YHR071W	BioGRID
YOR231W	YGR202C	BioGRID
YIL042C	YER178W	BioGRID
YGL059W	YER178W	BioGRID
YJL164C	YGL248W	BioGRID
YDL047W	YPL058C	BioGRID
YDR477W	YOR153W	BioGRID
YBR274W	YDR113C	BioGRID
YBR160W	YDR113C	BioGRID
YBR160W	YER149C	BioGRID
YIL035C	YDL065C	BioGRID
YBR136W	YGR240C	BioGRID
YBL088C	YGR240C	BioGRID
YDR477W	YMR205C	BioGRID
YBL105C	YMR205C	BioGRID
YJL164C	YIL107C	BioGRID
YPL141C	YKL127W	BioGRID
YPL153C	YMR105C	BioGRID
YBR160W	YDL106C	BioGRID
YPL031C	YFR034C	BioGRID
YOL001W	YFR034C	BioGRID
