kinase	substrate	marker	q	gps	biogrid	fasolo	parca	fiedler	EMAP	yeastkid	netphorest	networkin	networkin STRING	networkin_biogrid	activation	binding	catalysis	expression	inhibition	ptmod	reaction	undirected	ptacek	n_datasets	goldstandard1	goldstandard2	goldstandard3	goldstandard4
YAR018C	YGR188C	0.0173253727465469	0.0933132755451351	0.000211							0.193117	1.249	0.3568	0.661			245				245	398		7			1	
YAR018C	YGR262C	0.0352635210192528	0.00317296397459736	0.000170							0.093932	0.4664	0.196	0.4664										4				
YAR018C	YHL007C	0.0052411944400324	0.365164243200509	0.000224							0.157414	0.7487	0.3209	0.6461										4				
YAR018C	YHR004C	-0.0323858774639006	0.00619587813552408	0.000210							0.173936	0.6595	0.1152	0.3756										4				
YAR018C	YHR030C	-0.0193472868926996	0.0693194728737851	0.000199							0.171509	0.8008	0.3084	0.6359										4				
YAR018C	YHR071W	-0.0287368537740195	0.013324203132351	0.000218							0.128901	0.535	0.2064	0.0677										4				
YAR018C	YHR079C	-0.0330220863303091	0.00535925410372899	0.000236							0.196471	1.139	0.2076	0.5328										4				
YAR018C	YHR082C	0.00961233117489057	0.251842550229635	0.000214							0.17278	0.6586	0.1295	0.5381										4				
YAR018C	YHR102W	-0.00759124090172314	0.304741253444208	0.000222							0.162964	0.6343	0.1508	0.5264										4				
YAR018C	YHR135C	0.00136284531599667	0.45445030003711	0.000248							0.160534	0.625	0.1713	0.625										4				
YAR018C	YHR205W	0.0413489169556318	0.000644869586072416	0.000206							0.195303	1.0662	0.1494	0.5439								189		5				
YAR018C	YIL035C	0	0.481425639536617	0.000199							0.116011	0.5235	0.1644									359		4				
YAR018C	YIL042C	0	0.481425639536617	0.000164							0.13536	0.536	0.0945											3				
YAR018C	YIL095W	0.0019351669590959	0.442384957197686	0.000211							0.174195	0.6597	0.1747	0.5336										4				
YAR018C	YIL106W	-0.0124130755531203	0.182029605645253	0.000174							0.141242	0.646	0.2954	0.4735								428		5				
YAR018C	YIL113W	-0.015006937454609	0.127973600565228	0.000206							0.155409	0.6054	0.1367	0.0677										4				
YAR018C	YIL147C	-0.0205016146063502	0.0579094315634911	0.000209							0.159588	0.656	0.24	0.5836										4				
YAR018C	YIR026C	-0.00634259308450903	0.337201446293617	0.000217							0.132494	0.5709	0.249	0.322										4				
YAR018C	YJL006C	0	0.481425639536617	0.000195							0.100433	0.4862	0.1948											3				
YAR018C	YJL013C	-0.0238950600909054	0.0329739272207602	0.000225							0.174128	0.8055	0.3209	0.8055			245				245	281		7			1	
YAR018C	YJL057C	0.0206980763202044	0.0561569460570136	0.000202							0.207985	1.4854	0.2341	0.3928										4				
YAR018C	YJL095W	-0.0367431410555482	0.00220564838477828	0.000226							0.199677	1.4229	0.3193	0.679								235		5				
YAR018C	YJL106W	0.0182981272010925	0.0811252808763709	0.000213							0.138276	0.5379	0.1599	0.484										4				
YAR018C	YJL128C	-0.0239223710824636	0.0328159364111259	0.000219							0.135907	0.655	0.3213	0.655										4				
YAR018C	YJL141C	0.0168925553713924	0.0990692045685775	0.000234							0.175322	0.6605	0.1466	0.6605								255		5				
YAR018C	YJL164C	0.0135821782760044	0.155464976167347	0.000235							0.188176	0.8613	0.1798	0.4468								209		5				
YAR018C	YJL165C	0.0333597352457326	0.00495810113719582	0.000196							0.171052	0.6717	0.2172	0.5733										4				
YAR018C	YJL187C	0.0202428919582815	0.0602526018659588	0.000204							0.176636	0.6615	0.1624	0.6615								287		5				
YAR018C	YJR059W	0.022588089086495	0.0412468912175229	0.000224							0.207649	1.6005	0.2794	0.6055								244		5				
YAR018C	YJR066W	0.00705933004591924	0.318637205836306	0.000210							0.198906	1.1506	0.1885	0.2757										4				
YAR018C	YKL025C	0.0183118198111396	0.0809601433467291	0.000217							0.124424	0.5289	0.1213	0.4544										4				
YAR018C	YKL048C	-0.0240380003750333	0.0321532514967935	0.000203						-0.217601	0.183534	0.698	0.1765	0.453								202		6	0	0		
YAR018C	YKL101W	-0.0203239658596749	0.0595149975620371	0.000280							0.196847	1.1766	0.2286	0.6592										4				
YAR018C	YKL116C	-0.0313697309842803	0.00768601007641156	0.000205							0.14283	0.5408	0.0935	0.2687										4				
YAR018C	YKL126W	0.0260377466318125	0.0224504755796664	0.000201							0.194297	1.0494	0.1839	0.5342								189		5				
YAR018C	YKL139W	-0.0156208801084426	0.117890303807183	0.000198							0.1753	0.6688	0.2109	0.2935										4				
YAR018C	YKL161C	-0.0164528973179729	0.105287172052085	0.000195							0.134434	0.5354	0.1236	0.445								206		5				
YAR018C	YKL166C	0.0230528544027113	0.0381236993165704	0.000196							0.188176	1.0071	0.288	0.4628								256		5				
YAR018C	YKL168C	-0.0220468628913538	0.0451175745377259	0.000212							0.151126	0.5512	0.1467	0.523										4				
YAR018C	YKL171W	-0.0185395851713463	0.0782324160381484	0.000231							0.161881	0.6302	0.1402	0.6302										4				
YAR018C	YKL190W	0	0.481425639536617	0.000168							0.110055	0.5439	0.2395									234		4				
