P	Target	activation	binding	catalysis	expression	inhibition	ptmod	reaction	P_gene	Target_gene
YPL209C	YHL027W			900					IPL1	RIM101
YPL209C	YHL027W			224				224	IPL1	RIM101
YPL209C	YHL027W			183				183	IPL1	RIM101
YPL209C	YHL027W			900					IPL1	RIM101
YPL209C	YHL027W			900					IPL1	RIM101
YPL209C	YHL027W			299				299	IPL1	RIM101
YPL209C	YHL027W			900					IPL1	RIM101
YPL209C	YHL027W	832		887			408	887	IPL1	RIM101
YPL209C	YHL027W			900					IPL1	RIM101
YPL209C	YHL027W	536		569				569	IPL1	RIM101
YPL209C	YHL027W	831		886				886	IPL1	RIM101
YPL209C	YHL027W			248					IPL1	RIM101
YPL209C	YHL027W		187	271				271	IPL1	RIM101
YPL209C	YHL027W			551				551	IPL1	RIM101
YPL209C	YHL027W			167				167	IPL1	RIM101
YPL209C	YHL027W						209		IPL1	RIM101
YPL209C	YHL027W			161				161	IPL1	RIM101
YPL209C	YHL027W	575	202	763				763	IPL1	RIM101
YPL209C	YHL027W			912				912	IPL1	RIM101
YPL209C	YHL027W			307				307	IPL1	RIM101
YPL209C	YHL027W	444		461			620	461	IPL1	RIM101
YPL209C	YHL027W	183		194				194	IPL1	RIM101
YPL209C	YHL027W						526		IPL1	RIM101
YPL209C	YHL027W		263						IPL1	RIM101
YPL209C	YHL027W			903					IPL1	RIM101
YPL209C	YHL027W						209		IPL1	RIM101
YPL209C	YHL027W			569				569	IPL1	RIM101
YPL209C	YHL027W			900				900	IPL1	RIM101
YPL209C	YHL027W			907				907	IPL1	RIM101
YPL209C	YHL027W						155		IPL1	RIM101
YPL209C	YHL027W	716	373	716				716	IPL1	RIM101
YPL209C	YHL027W	231		231				231	IPL1	RIM101
YPL209C	YHL027W			329.5				286	IPL1	RIM101
YPL209C	YHL027W			903				903	IPL1	RIM101
YPL209C	YHL027W			447					IPL1	RIM101
YPL209C	YHL027W			536				536	IPL1	RIM101
YPL209C	YHL027W			373					IPL1	RIM101
YPL209C	YHL027W		271						IPL1	RIM101
YPL209C	YHL027W	181		181				181	IPL1	RIM101
YPL209C	YHL027W			193				193	IPL1	RIM101
YPL209C	YHL027W	153		185				185	IPL1	RIM101
YPL209C	YHL027W	266	155	266				266	IPL1	RIM101
YPL209C	YHL027W						461		IPL1	RIM101
YPL209C	YHL027W	153		185				185	IPL1	RIM101
YPL209C	YHL027W			239				239	IPL1	RIM101
YPL209C	YHL027W			901					IPL1	RIM101
