KP	KP2	Target
CLA4		YHR056C
CLA4		YDL149W
CLA4		YAL028W
CLA4		YDL153C
CLA4		YPR067W
CMK1		YGL208W
CMK1		YDR099W
CMK1		YHR117W
CMK1		YPR036W
CMK1		YMR165C
CMK1		YJL124C
CMK1		YKR047W
CMK1		YLR259C
CMK1		YNL316C
CMK1		YNL272C
CMK1		YJR076C
CMK1		YER174C
CMK1		YJL189W
CMK1		YIL051C
CMK1		YJL146W
CMK1		YIR003W
CMK1		YIL167W
CMK1		YJL175W
CMK1		YER153C
CMK1		YPL100W
CMK1		YHR112C
CMK1		YDR312W
CMK1		YER175C
CMK1		YKR092C
CMK1		YER131W
CMK1		YNL121C
CMK1		YLR274W
CMK1		YGR249W
CMK1		YBL047C
CMK1		YGL079W
CMK1		YBR267W
CMK1		YHR090C
CMK1		YNL245C
CMK1		YFR017C
CMK1		YIL074C
CMK1		YKR071C
CMK1		YDR001C
CMK1		YNL027W
CMK1		YML048W
CMK1		YBR109C
CMK1		YDL143W
CMK1		YDR335W
CMK1		YER154W
CMK1		YLR102C
CMK1		YLR276C
CMK1		YKL127W
CMK1		YGL023C
CMK1		YDL006W
CMK1		YJL177W
CMK1		YFR010W
CMK1		YPL146C
CMK1		YDR169C
CMK1		YIL053W
CMK1		YPL139C
CMK1		YKR094C
CMK1		YLR059C
CMK1		YIL148W
CMK1		YBR001C
CMK1		YIL010W
CMK1		YLR437C
CMK1		YOR054C
CMK1		YGL205W
CMK1		YNL021W
CMK1		YFR033C
CMK1		YOR257W
CMK1		YJR072C
CMK1		YER054C
CMK1		YGR135W
CMK1		YJL084C
CMK1		YLR451W
CMK1		YNL218W
CMK1		YLR030W
CMK1		YBL064C
CMK1		YGL184C
CMK1		YCR075C
CMK1		YER142C
CMK1		YMR140W
CMK1		YKR009C
CMK1		YBR169C
CMK1		YLL028W
CMK1		YLR307W
CMK1		YKL151C
CMK1		YGL039W
CMK1		YOR113W
CMK1		YDR113C
CMK1		YIL107C
CMK1		YER128W
CMK1		YDR019C
CMK1		YGL105W
CMK1		YGR159C
CMK1		YLR060W
CMK1		YLL043W
CMK1		YNL227C
CMK1		YJR001W
CMK1		YBR177C
CMK1		YKL064W
CMK1		YKR074W
CMK1		YGL207W
CMK1		YGR130C
CMK1		YNR033W
CMK1		YHR116W
CMK1		YOL148C
CMK1		YPL156C
CMK1		YEL017W
CMK1		YPR035W
CMK1		YER143W
CMK1		YOR332W
CMK1		YJL188C
CMK1		YML030W
CMK1		YOR340C
CMK1		YER092W
CMK1		YPR152C
CMK1		YHR182W
CMK1		YOR123C
CMK1		YMR049C
CMK1		YDR354W
CMK1		YLL024C
CMK1		YML062C
CMK1		YNL186W
