folder	X	J	epochs	lambda	lambdaW	lambdaWT	trainWT	quadquad	WT_reg	WT_mask	WP_mask	WT	WP	PKPP	score	GO_score
46	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT_FDR10.mat	~/cwd/data/network/KP_priors/WP_noise.mat		6131.73952778396	121.064484860567
47	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT_FDR10_sign.mat	~/cwd/data/network/KP_priors/WP_noise.mat		6105.22324869972	119.204691787217
48	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT_FDR20_sign.mat	~/cwd/data/network/KP_priors/WP_noise.mat		6168.93699096952	122.240215461366
49	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT_FDR10.mat	~/cwd/data/network/KP_priors/WP_noise_KP2TF.mat		6444.56622379518	118.130130237781
50	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT_FDR20.mat	~/cwd/data/network/KP_priors/WP_noise_KP2TF.mat		6596.07002128206	126.889091291167
51	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT_FDR10_sign.mat	~/cwd/data/network/KP_priors/WP_noise_KP2TF.mat		6868.52571132791	131.787040353412
52	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT_FDR20_sign.mat	~/cwd/data/network/KP_priors/WP_noise_KP2TF.mat		6842.04738779629	147.448167113568
53	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT_FDR20_sign.mat	~/cwd/data/network/KP_priors/WP_noise_KP2TF_sign.mat		277.526637029317	2.647597358018
54	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT_FDR20_sign.mat	~/cwd/data/network/KP_priors/WP_noise_FDR10_sign.mat		5267.27482889628	99.8886570966127
55	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT_FDR20_sign.mat	~/cwd/data/network/KP_priors/WP_noise_FDR20_sign.mat		4956.32487050803	114.569038001255
56	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT_FDR20_sign.mat				
57	~/cwd/data/perturbation/logFC_inner.mat	~/cwd/data/perturbation/J_inner.mat	50	0.1	0	false	false	false			~/cwd/data/network/KP_mask.mat	~/cwd/data/network/WT_FDR20_sign.mat	~/cwd/data/network/KP_priors/WP_noise_KP2TF_log.mat			
