KP	TF	p	sign	weight
YAL009W	YLR098C	0.956701122625626	1	0.00221076479500414
YAL009W	YLR131C	0.00639064140732902	-1	-0.223257224701335
YAL009W	YLR176C	0.0562867438000649	1	0.133995185877406
YAL009W	YLR182W	0.00054862933127773	1	0.312988588148353
YAL009W	YLR183C	0.0639327084745031	1	0.12846234595969
YAL009W	YLR228C	0.599745137885202	1	0.025238569127898
YAL009W	YLR256W	5.65147229864868e-08	1	0.565881713486101
YAL009W	YLR266C	0.374744626355355	-1	-0.0478907801793761
YAL009W	YLR278C	0.357743195632515	1	0.0500985095535617
YAL009W	YLR403W	0.596142806400083	-1	-0.0255321497777191
YAL009W	YLR451W	0.0786127391820538	1	0.119408180884057
YAL009W	YML007W	7.62697080326758e-10	1	0.649960057206177
YAL009W	YML027W	0.913580940489729	-1	-0.00450896905253923
YAL009W	YML051W	0.734193532909614	1	0.0153304051828559
YAL009W	YML076C	0.550259657218411	-1	-0.0294266022240002
YAL009W	YML081W	0.905960141422591	1	0.00492582652514099
YAL009W	YML099C	0.812835824097894	-1	-0.0103078129883421
YAL009W	YML113W	0.99917728074538	1	4.11520469235045e-05
YAL009W	YMR016C	1.74474339234762e-05	1	0.421788695652417
YAL009W	YMR019W	0.728876254761901	-1	-0.0156882031428725
YAL009W	YMR021C	0.560753199513699	1	0.0285094330506284
YAL009W	YMR037C	4.81089557573716e-18	1	0.863820637580863
YAL009W	YMR042W	0.0159405076831777	1	0.186935297576786
YAL009W	YMR043W	0.0253535592929547	1	0.167849368971229
YAL009W	YMR053C	0.994097096710113	1	0.000295975904950406
YAL009W	YMR070W	0.325206897482935	-1	-0.0546165670019566
YAL009W	YMR075W	0.575749472583245	1	0.0272266203529393
YAL009W	YMR164C	0.687801082230902	-1	-0.0185387833144589
YAL009W	YMR172W	6.6431191683306e-08	1	0.562358394931052
YAL009W	YMR182C	0.989783934839914	-1	-0.000513298582656292
YAL009W	YMR280C	0.201965668340945	1	0.0768678476368964
YAL009W	YNL027W	0.000266494392975228	1	0.337349692562245
YAL009W	YNL068C	9.05408564853422e-10	1	0.646945110944408
YAL009W	YNL139C	0.875002800162441	-1	-0.00665417191634456
YAL009W	YNL167C	2.84373373370693e-12	1	0.735336259262485
YAL009W	YNL199C	0.539965544561132	1	0.0303426306819366
YAL009W	YNL216W	2.03720781157296e-05	-1	-0.417290945290884
YAL009W	YNL257C	0.569644448568513	1	0.0277449816359039
YAL009W	YNL309W	0.750128365720837	1	0.0142727118281573
YAL009W	YNL314W	0.242443831781359	1	0.0683976895133441
YAL009W	YNR063W	0.116525031291464	1	0.101907723720193
YAL009W	YOL028C	0.077019383284713	-1	-0.120309297648259
