KP_reg	p.value	estimate	sign	KP
YDR075W	6.7326601400938e-12	0.00882468579525256	1	YAL009W
YDR122W	1.15196044913143e-12	0.00934881568889165	1	YAL009W
YDR147W	7.27696655227511e-11	0.00904212893020615	1	YAL009W
YDR247W	1.28833289482603e-13	0.00998254724094836	1	YAL009W
YDR283C	2.8931938111443e-08	0.0131655615592605	1	YAL009W
YDR436W	9.81701055178716e-09	0.010138956137436	1	YAL009W
YDR466W	4.56204785071195e-11	0.00938746125093582	1	YAL009W
YDR477W	4.50271916960204e-09	0.00903929701639595	1	YAL009W
YDR490C	9.17316227869937e-12	0.0105938721767239	1	YAL009W
YDR507C	9.30606413042742e-13	0.00926713559097729	1	YAL009W
YDR523C	4.02949833390852e-11	0.0112267023322538	1	YAL009W
YER075C	3.82824141801416e-13	0.00986017540823173	1	YAL009W
YER089C	1.50674983630077e-14	0.0100959237302909	1	YAL009W
YER123W	1.54897586769461e-11	0.0087833302440862	1	YAL009W
YER129W	8.93481687149494e-12	0.00982413477294706	1	YAL009W
YFL029C	3.73594436862647e-11	0.00843090774063215	1	YAL009W
YFL033C	5.01413939313726e-07	0.00882634936030556	1	YAL009W
YFR014C	0.000216704947905616	0.0087941310965454	1	YAL009W
YFR019W	2.71917273933583e-12	0.00971074040309051	1	YAL009W
YGL019W	4.56644075959239e-09	0.00747862754089665	1	YAL009W
YGL021W	1.19810122329877e-12	0.00941973067819153	1	YAL009W
YGL059W	7.02246895840553e-12	0.0101360905370494	1	YAL009W
YGL083W	1.26422667031601e-10	0.00968961977877207	1	YAL009W
YGL119W	4.21563561758282e-12	0.00930410379832021	1	YAL009W
YGL124C	1.51061698508321e-10	0.00820386940576039	1	YAL009W
YGL134W	5.09306804763873e-11	0.0128948093398435	1	YAL009W
YGL158W	2.64099052731106e-10	0.00974533806370782	1	YAL009W
YGL179C	6.30750085792269e-12	0.00994801376138715	1	YAL009W
YGL180W	8.63603840465688e-13	0.0101918040169793	1	YAL009W
YGR040W	1.0945693628342e-10	0.00924803473221671	1	YAL009W
YGR052W	2.11436054656694e-12	0.00923318629852085	1	YAL009W
YGR080W	6.56426631046097e-12	0.00885767165477102	1	YAL009W
YGR092W	3.89150551727453e-11	0.0086776736984543	1	YAL009W
YGR109C	1.87917810637145e-08	0.00966484778047197	1	YAL009W
YGR123C	5.483795404556e-12	0.00891726781939137	1	YAL009W
YGR188C	1.72153485886383e-10	0.0084456481137293	1	YAL009W
YGR203W	2.51812167920042e-14	0.00988810092807134	1	YAL009W
YGR262C	0.00201075096855736	0.0139295246890816	1	YAL009W
YHL007C	2.41053809905026e-12	0.0090144190440132	1	YAL009W
YHR004C	2.579447556598e-10	0.00857866652972762	1	YAL009W
