KP	Target	p
YAR018C	YCR065W	0.0484935495541608
YAR018C	YCR084C	0.166466643663283
YAR018C	YCR106W	0.710975101328469
YAR018C	YDL020C	0.992743406145729
YAR018C	YDL048C	0.765466130466961
YAR018C	YDL056W	3.66681949368495e-05
YAR018C	YDL106C	0.0349341850660254
YAR018C	YDL170W	0.679154078481998
YAR018C	YDR009W	0.975801404550069
YAR018C	YDR026C	0.799009780824067
YAR018C	YDR034C	0.993092678536562
YAR018C	YDR043C	1.46630180827225e-07
YAR018C	YDR049W	0.937974245800638
YAR018C	YDR123C	0.0305181258613848
YAR018C	YDR146C	0.684534802532461
YAR018C	YDR174W	0.914049142726969
YAR018C	YDR207C	6.18128242375604e-05
YAR018C	YDR213W	0.915838248815128
YAR018C	YDR216W	0.932547981991782
YAR018C	YDR253C	0.642033980291591
YAR018C	YDR259C	0.0227776803541664
YAR018C	YDR266C	0.944443500466406
YAR018C	YDR277C	0.00486496042232933
YAR018C	YDR310C	0.970624307437754
YAR018C	YDR421W	0.877272084973547
YAR018C	YDR423C	0.986462849514317
YAR018C	YDR451C	0.824164206557548
YAR018C	YDR463W	0.425441037524301
YAR018C	YDR501W	0.18872744323575
YAR018C	YDR520C	0.991868402283413
YAR018C	YEL009C	0.218621131590538
YAR018C	YER028C	0.988984874846818
YAR018C	YER040W	0.160726632690075
YAR018C	YER045C	0.873829886774041
YAR018C	YER051W	0.520332638170746
YAR018C	YER068W	0.987744231972584
YAR018C	YER088C	0.463239957631204
YAR018C	YER109C	0.00179286345128403
YAR018C	YER111C	7.28974066260061e-10
YAR018C	YER130C	0.966171073994736
YAR018C	YER161C	0.999088646321967
YAR018C	YER169W	0.839218464237035
YAR018C	YER184C	0.987239393375996
YAR018C	YFL021W	0.258569060393857
YAR018C	YFL031W	0.950121652486289
YAR018C	YFL044C	0.979234550598697
YAR018C	YFL052W	0.511705275530479
YAR018C	YFR034C	0.542674579885398
YAR018C	YGL013C	0.997834734922283
YAR018C	YGL035C	0.832334699706429
YAR018C	YGL071W	0.721396208832804
YAR018C	YGL073W	0.00211609396192865
YAR018C	YGL096W	0.537798152084135
YAR018C	YGL131C	0.942819503264051
YAR018C	YGL162W	8.34566385288722e-05
YAR018C	YGL166W	0.848352495631848
YAR018C	YGL181W	0.873057804964985
YAR018C	YGL192W	0.825774386706229
YAR018C	YGL197W	0.58297666533359
YAR018C	YGL209W	0.73224123536496
