TF	p.value	estimate	sign	KP
YOR028C	2.10602897458301e-09	0.00884570732181021	1	YAL009W
YOR032C	0.713459382768835	-0.00142523842271522	1	YAL009W
YOR038C	0.0974243900092551	0.004251809968191	1	YAL009W
YOR113W	0.000767328610179058	0.00798825439044349	1	YAL009W
YOR140W	0.773609013876248	-0.00153623354413936	1	YAL009W
YOR162C	0.0643064480614954	0.0022209916792356	1	YAL009W
YOR229W	0.90093161925561	-0.00421043033543003	-1	YAL009W
YOR230W	0.95359306103944	-0.00575488839538612	1	YAL009W
YOR337W	0.0186375994661971	0.0204939680600026	-1	YAL009W
YOR344C	0.582298336027043	-0.000331769788950556	1	YAL009W
YOR358W	0.00979583078867086	0.00536776974961868	-1	YAL009W
YOR363C	0.110719850068584	0.00224845087283678	1	YAL009W
YOR380W	0.754195444788619	-0.00137741240174205	-1	YAL009W
YPL038W	0.414515776841624	0.000369515926087977	1	YAL009W
YPL049C	0.732687255023735	-0.00105289887974208	-1	YAL009W
YPL075W	0.485843284756557	1.64132887186084e-05	1	YAL009W
YPL089C	0.438333217068913	0.000350443222671616	1	YAL009W
YPL133C	7.46613234777851e-11	0.026305975344377	1	YAL009W
YPL139C	0.978495941957419	-0.00382058727100968	-1	YAL009W
YPL177C	0.811849536280961	-0.0020974431169532	1	YAL009W
YPL202C	0.886650745801897	-0.00216954623200392	1	YAL009W
YPL230W	0.623162566002984	-0.000715552299502452	1	YAL009W
YPL248C	0.997101072120647	-0.00552443133483445	1	YAL009W
YPR008W	0.763895932416625	-0.00277061204484671	1	YAL009W
YPR009W	0.652981094980076	-0.00155921633676841	1	YAL009W
YPR022C	0.0763402061201271	0.00279783673436576	-1	YAL009W
YPR065W	0.000296174131473041	0.00736068385290466	1	YAL009W
YPR196W	0.998531919091643	-0.00802866919184069	1	YAL009W
YPR199C	0.989996121419562	-0.00614243235054878	-1	YAL009W
YAL051W	0.000395597739816756	0.0045174376686716	-1	YAL017W
YBL005W	0.728308015309301	-0.00105819468233769	-1	YAL017W
YBL008W	0.0144800912708355	0.00434200735163115	-1	YAL017W
YBL021C	0.844123727110139	-0.00166487643096248	-1	YAL017W
YBL054W	0.782877992088972	-0.0014998350930555	-1	YAL017W
YBL103C	0.418413325105326	0.000236318254955749	1	YAL017W
YBR033W	0.810006875230589	-0.00145549678164758	1	YAL017W
YBR049C	0.333010942884351	0.000471724608847643	-1	YAL017W
YBR083W	0.00633783061150762	0.00341341715816115	-1	YAL017W
YBR112C	0.0470703555875458	0.0250217406116484	1	YAL017W
YBR150C	0.968370568536117	-0.0043786978216195	-1	YAL017W
YBR182C	0.447240814830911	4.72705219241544e-05	-1	YAL017W
YBR239C	0.0985558207558365	0.00227612910924873	-1	YAL017W
YBR240C	0.857774378262379	-0.00197076376490413	1	YAL017W
YBR297W	0.988477324255013	-0.00323670999376995	1	YAL017W
YCL055W	0.146079267304052	0.0738465367571753	-1	YAL017W
YCR065W	0.826013903403976	-0.00122446067147025	1	YAL017W
YCR084C	0.265441881142168	0.00128310627864851	-1	YAL017W
YCR106W	0.649921558047793	-0.000593777668148292	-1	YAL017W
YDL020C	0.529607183331525	-2.876831848241e-05	1	YAL017W
YDL048C	0.933651810561392	-0.00327376979598188	-1	YAL017W
YDL056W	0.826868808431093	-0.00106632370652491	1	YAL017W
YDL106C	0.301394526315072	0.000636226397917296	1	YAL017W
YDL170W	0.977734772380677	-0.00316058042925149	1	YAL017W
YDR009W	0.671752391067441	-0.000805761642707166	-1	YAL017W
YDR026C	0.450398880807238	0.000208416526180033	-1	YAL017W
YDR034C	0.970587801212965	-0.0263694406462157	-1	YAL017W
YDR043C	0.00200509033262911	0.00415013668682872	1	YAL017W
YDR049W	0.979542696141841	-0.00311426465784688	-1	YAL017W
YDR123C	5.82481759918001e-09	0.00728370314763058	1	YAL017W
