systematicName,geneSymbol,"ctk1-del vs. wt","ctk1-del vs. wt","cak1-del vs. wt","cak1-del vs. wt",
YBL085W,BOI1,0.12506915,1,-0.59770568,0,
YBL086C,YBL086C,-0.39171117,0.01,-0.17611697,1,
YBL087C,RPL23B,-0.7181724,0,-1.3650091,0.024,
YBL088C,TEL1,0.51145792,0,-0.026792846,1,
YBL089W,AVT5,-0.58097895,0,-0.4771548,0,
YBL090W,MRP21,-0.45962351,0,-0.30479187,0.012,
YBL091C,MAP2,-0.96384134,0,-0.19110922,0.932,
YBL091C-A,SCS22,-0.35695102,1,-0.0694867,1,
YBL092W,RPL32,0.043722454,1,0.57946982,0,
YBL093C,ROX3,-0.12690656,1,0.13473351,1,
YBL094C,YBL094C,-0.12775434,1,-0.35068438,0,
YBL095W,YBL095W,-0.22678345,1,-0.20993364,1,
YBL096C,YBL096C,-0.090342086,1,-0.7666641,0,
YBL097W,BRN1,-0.24520654,1,-0.17302001,1,
YBL098W,BNA4,-0.36119029,0.031,-0.31023925,0.012,
YBL099W,ATP1,-0.20745612,1,0.029134804,1,
YBL100C,YBL100C,-0.54659094,1,-0.087035957,1,
YBL101C,ECM21,-0.15668662,1,-0.15978897,1,
YBL100W-A,YBL100W-A,2.1262725,0,2.052708,0,
YBL100W-B,YBL100W-B,1.3402261,0,0.81788517,0,
YBL102W,SFT2,-0.4037766,0.009,-0.02157883,1,
YBL103C,RTG3,-0.018232085,1,-0.16325661,1,
YBL104C,YBL104C,-0.48644457,0,-0.46224274,0,
YBL105C,PKC1,-0.99134101,0,-0.17741994,1,
YBL106C,SRO77,0.53370288,0,-0.4628292,0,
YBL107C,YBL107C,0.34424903,1,-0.16166456,1,
YBL107W-A,YBL107W-A,0.84042698,0,0.58674073,1,
YBL108W,YBL108W,0.051594841,1,0.024731009,1,
YBL109W,YBL109W,1.3212297,0,0.44791768,0,
YBL111C,YBL111C,0.43567126,0.002,0.3060172,0.637,
YBL112C,YBL112C,1.1503777,0,1.0410537,0,
YBL113C,YBL113C,0.83507518,0,1.0159899,0,
YBR001C,NTH2,0.13447068,1,0.20997732,1,
YBR002C,RER2,-0.11755571,1,-0.52441908,0,
YBR003W,COQ1,-0.094322548,1,-0.00758975,1,
YBR004C,GPI18,0.25068271,1,-0.011606881,1,
YBR005W,RCR1,0.0072242115,1,0.023950801,1,
YBR006W,UGA2,0.073875062,1,0.14230887,1,
YBR007C,DSF2,-0.26658665,0.996,-0.15006477,1,
YBR008C,FLR1,0.052207196,1,-0.090953514,1,
YBR009C,HHF2,-0.33439803,0.735,-1.3165065,0,
YBR010W,HHT2,-0.37700033,0.059,-1.1561801,0,
YBR011C,IPP1,-0.12994388,1,0.25968828,0.299,
YBR012C,YBR012C,2.3026466,0,2.2618076,0,
YAR010C,YAR010C,0.70441164,0,0.8089369,0.798,
YBL005W-B,YBL005W-B,0.37376513,0.69,0.18533376,1,
YBR013C,YBR013C,0.35132302,0.172,0.93256769,0,
YBR014C,YBR014C,-0.07107109,1,0.096801582,1,
YBR015C,MNN2,0.052861016,1,-0.15812669,1,
YBR016W,YBR016W,-0.50654531,0.005,-0.89043617,0,
YBR017C,KAP104,-0.38927915,0.018,-0.14262248,1,
YBR018C,GAL7,-0.088636681,1,-0.14718453,1,
YBR019C,GAL10,-0.24885339,0.998,-0.16836107,1,
YBR020W,GAL1,-0.036124937,1,-0.13194228,1,
YBR021W,FUR4,0.2178511,1,0.41019998,0.079,
YBR022W,POA1,-0.058584144,1,-0.17091196,1,
YBR023C,CHS3,0.45679564,0.003,0.99471729,0,
YBR024W,SCO2,-0.21833814,1,0.4396125,0,
YBR025C,YBR025C,0.20491696,1,-0.55736537,0,
YBR026C,ETR1,0.27885308,0.828,0.63776788,0,
YBR027C,YBR027C,0.026460145,1,-0.47748419,0,
YBR028C,YBR028C,-0.063070018,1,-0.51642307,0,
YBR029C,CDS1,-0.35170392,0.336,-0.69207725,0,
YBR030W,YBR030W,-0.12140491,1,-0.60405978,0,
YBR031W,RPL4A,-0.50037501,0,-0.67802112,0,
YBR032W,YBR032W,-0.2705995,1,-0.3243647,1,
YBR033W,EDS1,1.1246722,0,1.5625868,0,
YBR034C,HMT1,-0.17874368,1,-0.59918449,0,
YBR035C,PDX3,0.25362628,1,0.15243007,1,
YBR036C,CSG2,0.086593568,1,-0.0023679621,1,
YBR037C,SCO1,-0.03367881,1,-0.03446762,1,
YBR038W,CHS2,-0.13342114,1,-0.33769787,0.492,
YBR039W,ATP3,-0.16105469,1,0.51399598,0,
YBR040W,FIG1,1.2152623,0,4.3172606,0,
