"List of kinase-kinase, phosphatase-phosphatase, and kinase-phosphatase pairs that share common substrates and for which the EMAP contained interaction scores.",,,,,
"For the sake of completion, known kinase and phosphatase regulators were also includedin this analysis.",,,,,
"Two kinases with one or more shared substrates",,,,,
"Kinase or regulator",,"Kinase or regulator",,Score,Relationship
YPL256C,CLN2,YDL155W,CLB3,0.312179,"Shared substrate"
YPL256C,CLN2,YAL040C,CLN3,-5.048476,"Shared substrate"
YPL256C,CLN2,YPR120C,CLB5,0.457089,"Shared substrate"
YPL256C,CLN2,YNL289W,PCL1,0.206583,"Shared substrate"
YPL256C,CLN2,YDL127W,PCL2,-0.415742,"Shared substrate"
YPL256C,CLN2,YGR109C,CLB6,-0.68907,"Shared substrate"
YPL256C,CLN2,YLR210W,CLB4,1.301371,"Shared substrate"
YGL019W,CKB1,YOR039W,CKB2,4.615944,"Shared substrate"
YBR135W,CKS1,YPL256C,CLN2,-9.84606,"Shared substrate"
YGR188C,BUB1,YBL088C,TEL1,-2.178674,"Shared substrate"
YNL307C,MCK1,YOL128C,YGK3,0.234066,"Shared substrate"
YNL307C,MCK1,YMR139W,RIM11,-5.203053,"Shared substrate"
YNL307C,MCK1,YFL033C,RIM15,0.420818,"Shared substrate"
YNL307C,MCK1,YJL141C,YAK1,0.165113,"Shared substrate"
YNL307C,MCK1,YJL164C,TPK1,-0.034534,"Shared substrate"
YNL307C,MCK1,YDL079C,MRK1,1.297987,"Shared substrate"
YDR490C,PKH1,YHR205W,SCH9,2.141362,"Shared substrate"
YDR490C,PKH1,YOL100W,PKH2,-11.491215,"Shared substrate"
YDR490C,PKH1,YKL203C,TOR2,-0.117091,"Shared substrate"
YMR068W,AVO2,YJL058C,BIT61,0.098934,"Shared substrate"
YMR068W,AVO2,YER093C,TSC11,0.092229,"Shared substrate"
YER123W,YCK3,YGL019W,CKB1,-1.228265,"Shared substrate"
YER123W,YCK3,YOR039W,CKB2,0.35218,"Shared substrate"
YJL128C,PBS2,YOL128C,YGK3,0.240153,"Shared substrate"
YJL128C,PBS2,YBL105C,PKC1,0.105553,"Shared substrate"
YJL128C,PBS2,YKL126W,YPK1,1.051383,"Shared substrate"
YLR113W,HOG1,YPL031C,PHO85,0.04776,"Shared substrate"
YLR113W,HOG1,YPR120C,CLB5,0.956592,"Shared substrate"
YLR113W,HOG1,YPL256C,CLN2,-0.066602,"Shared substrate"
YLR113W,HOG1,YBR135W,CKS1,-2.829373,"Shared substrate"
YLR113W,HOG1,YNL307C,MCK1,0.008314,"Shared substrate"
YLR113W,HOG1,YJL106W,IME2,0.719377,"Shared substrate"
YLR113W,HOG1,YNL289W,PCL1,0.70358,"Shared substrate"
YNR031C,SSK2,YCR073C,SSK22,-1.043719,"Shared substrate"
YNR031C,SSK2,YCL032W,STE50,1.213956,"Shared substrate"
