"Table S3. Known phosphorylation/dephosphorylation events, assembled from the literature",,,,,,,,,
"Known kinase-substrate relationships",,,,,,,,,
Kinase,,Substrate,,"Type of interaction",,,,,
YNL025C,SSN8,YPL042C,SSN3,YDL140C,RPO21,Phosphorylation,,,
YOL001W,PHO80,YPL031C,PHO85,YFR034C,PHO4,Phosphorylation,,,
YOL001W,PHO80,YPL031C,PHO85,YDR146C,SWI5,Phosphorylation,,,
YOL001W,PHO80,YPL031C,PHO85,YFL033C,RIM15,Phosphorylation,,,
YOL001W,PHO80,YPL031C,PHO85,YNL027W,CRZ1,Phosphorylation,,,
YOL001W,PHO80,YPL031C,PHO85,YOL001W,PHO80,Phosphorylation,,,
YOL001W,PHO80,YPL031C,PHO85,YKL185W,ASH1,Phosphorylation,,,
YNL289W,PCL1,YPL031C,PHO85,YEL009C,GCN4,Phosphorylation,,,
YNL289W,PCL1,YPL031C,PHO85,YAL041W,CDC24,Phosphorylation,,,
YNL289W,PCL1,YPL031C,PHO85,YOR171C,LCB4,Phosphorylation,,,
YNL289W,PCL1,YPL031C,PHO85,YLR079W,SIC1,Phosphorylation,,,
YDL127W,PCL2,YPL031C,PHO85,YDR388W,RVS167,Phosphorylation,,,
YDL127W,PCL2,YPL031C,PHO85,YDR146C,SWI5,Phosphorylation,,,
YDL127W,PCL2,YPL031C,PHO85,YAL041W,CDC24,Phosphorylation,,,
YDL127W,PCL2,YPL031C,PHO85,YOR171C,LCB4,Phosphorylation,,,
YHR071W,PCL5,YPL031C,PHO85,YEL009C,GCN4,Phosphorylation,,,
YER059W,PCL6,YPL031C,PHO85,YMR311C,GLC8,Phosphorylation,,,
YER059W,PCL6,YPL031C,PHO85,YIL084C,YIL084C,Phosphorylation,,,
YIL050W,PCL7,YPL031C,PHO85,YLR190W,MMR1,Phosphorylation,,,
YIL050W,PCL7,YPL031C,PHO85,YMR311C,GLC8,Phosphorylation,,,
YIL050W,PCL7,YPL031C,PHO85,YFR034C,PHO4,Phosphorylation,,,
YIL050W,PCL7,YPL031C,PHO85,YIL084C,YIL084C,Phosphorylation,,,
YPL219W,PCL8,YPL031C,PHO85,YMR311C,GLC8,Phosphorylation,,,
YDL179W,PCL9,YPL031C,PHO85,YFR034C,PHO4,Phosphorylation,,,
YGL134W,PCL10,YPL031C,PHO85,YLR258W,GSY2,Phosphorylation,,,
YGL134W,PCL10,YPL031C,PHO85,YMR311C,GLC8,Phosphorylation,,,
"Dephosphorylation events that are known to depend on a phosphatase regulatory protein. The phosphatase regulatory protein (column A/B) associates with the phosphatase (columnC/D) to dephosphorylate the substrate (column E/F)",,,,,,,,,
Regulator,,Phosphatase,,Substrate,,"Type of interaction",,,
"ORF name","Gene name","ORF name","Gene name","ORF name","Gene name",,,,
YGL190C,CDC55,YDL134C,PPH21,YJL155C,FBP26,Dephosphorylation,,,
YGL190C,CDC55,YDL134C,PPH21,YML064C,TEM1,Dephosphorylation,,,
YGL190C,CDC55,YDL134C,PPH21,YMR032W,HOF1,Dephosphorylation,,,
YGL190C,CDC55,YDL134C,PPH21,YMR036C,MIH1,Dephosphorylation,,,
YGL190C,CDC55,YDL134C,PPH21,YJR053W,BFA1,Dephosphorylation,,,
YGL190C,CDC55,YDL134C,PPH21,YJL076W,NET1,Dephosphorylation,,,
YGL190C,CDC55,YDL188C,PPH22,YJL155C,FBP26,Dephosphorylation,,,
YGL190C,CDC55,YDL188C,PPH22,YML064C,TEM1,Dephosphorylation,,,
YGL190C,CDC55,YDL188C,PPH22,YMR032W,HOF1,Dephosphorylation,,,
YGL190C,CDC55,YDL188C,PPH22,YMR036C,MIH1,Dephosphorylation,,,
YGL190C,CDC55,YDL188C,PPH22,YJR053W,BFA1,Dephosphorylation,,,
YGL190C,CDC55,YDL188C,PPH22,YJL076W,NET1,Dephosphorylation,,,
YKL190W,CNB1,YLR433C,CNA1,YOR324C,FRT1,Dephosphorylation,,,
YKL190W,CNB1,YLR433C,CNA1,YKL101W,HSL1,Dephosphorylation,,,
YKL190W,CNB1,YLR433C,CNA1,YNL027W,CRZ1,Dephosphorylation,,,
YKL190W,CNB1,YLR433C,CNA1,YML007W,YAP1,Dephosphorylation,,,
YKL190W,CNB1,YLR433C,CNA1,YIL105C,SLM1,Dephosphorylation,,,
YKL190W,CNB1,YLR433C,CNA1,YNL047C,SLM2,Dephosphorylation,,,
YKL190W,CNB1,YLR433C,CNA1,YLR113W,HOG1,Dephosphorylation,,,
YKL190W,CNB1,YML057W,CMP2,YOR324C,FRT1,Dephosphorylation,,,
YKL190W,CNB1,YML057W,CMP2,YKL101W,HSL1,Dephosphorylation,,,
YKL190W,CNB1,YML057W,CMP2,YNL027W,CRZ1,Dephosphorylation,,,
YKL190W,CNB1,YML057W,CMP2,YML007W,YAP1,Dephosphorylation,,,
YKL190W,CNB1,YML057W,CMP2,YIL105C,SLM1,Dephosphorylation,,,
YKL190W,CNB1,YML057W,CMP2,YNL047C,SLM2,Dephosphorylation,,,
YKL190W,CNB1,YML057W,CMP2,YLR113W,HOG1,Dephosphorylation,,,
YNL201C,PSY2,YDR075W,PPH3,YDR225W,HTA1,Dephosphorylation,,,
YDR028C,REG1,YER133W,GLC7,YGL253W,HXK2,Dephosphorylation,,,
YDR028C,REG1,YER133W,GLC7,YDR477W,SNF1,Dephosphorylation,,,
YDR028C,REG1,YER133W,GLC7,YGL035C,MIG1,Dephosphorylation,,,
YDR028C,REG1,YER133W,GLC7,YMR037C,MSN2,Dephosphorylation,,,
YDR028C,REG1,YER133W,GLC7,YLR259C,HSP60,Dephosphorylation,,,
YDR028C,REG1,YER133W,GLC7,YER178W,PDA1,Dephosphorylation,,,
YIL153W,RRD1,YDL047W,SIT4,YER040W,GLN3,Dephosphorylation,,,
YPL152W,RRD2,YDL134C,PPH21,YER040W,GLN3,Dephosphorylation,,,
YOR014W,RTS1,YDL134C,PPH21,YDL225W,SHS1,Dephosphorylation,,,
YOR014W,RTS1,YDL134C,PPH21,YPR007C,SPO69,Dephosphorylation,,,
YOR014W,RTS1,YDL188C,PPH22,YDL225W,SHS1,Dephosphorylation,,,
YOR014W,RTS1,YDL188C,PPH22,YPR007C,SPO69,Dephosphorylation,,,
YFR040W,SAP155,YDL047W,SIT4,YNL183C,NPR1,Dephosphorylation,,,
YMR028W,TAP42,YDL047W,SIT4,YER040W,GLN3,Dephosphorylation,,,
YMR028W,TAP42,YDL047W,SIT4,YNL183C,NPR1,Dephosphorylation,,,
YMR028W,TAP42,YDL047W,SIT4,YDR283C,GCN2,Dephosphorylation,,,
