"Table S3. Known phosphorylation/dephosphorylation events, assembled from the literature",,,,,,,,,
"Known kinase-substrate relationships",,,,,,,,,
Kinase,,Substrate,,"Type of interaction",,,,,
YNL298W,CLA4,YAL041W,CDC24,Phosphorylation,,,,,
YNL298W,CLA4,YAL024C,LTE1,Phosphorylation,,,,,
YNL298W,CLA4,YKL129C,MYO3,Phosphorylation,,,,,
YNL298W,CLA4,YJL187C,SWE1,Phosphorylation,,,,,
YNL298W,CLA4,YDR507C,GIN4,Phosphorylation,,,,,
YKL139W,CTK1,YDL140C,RPO21,Phosphorylation,,,,,
YDL101C,DUN1,YML058W,SML1,Phosphorylation,,,,,
YDL101C,DUN1,YDR216W,ADR1,Phosphorylation,,,,,
YDL101C,DUN1,YJL092W,HPR5,Phosphorylation,,,,,
YDL101C,DUN1,YLR265C,NEJ1,Phosphorylation,,,,,
YDL101C,DUN1,YDR076W,RAD55,Phosphorylation,,,,,
YDL101C,DUN1,YLR176C,RFX1,Phosphorylation,,,,,
YKL048C,ELM1,YDR507C,GIN4,Phosphorylation,,,,,
YKL048C,ELM1,YJL187C,SWE1,Phosphorylation,,,,,
YKL048C,ELM1,YKL101W,HSL1,Phosphorylation,,,,,
YKL048C,ELM1,YCL024W,KCC4,Phosphorylation,,,,,
YKL048C,ELM1,YGL035C,MIG1,Phosphorylation,,,,,
YKL048C,ELM1,YDR477W,SNF1,Phosphorylation,,,,,
YBL016W,FUS3,YNL271C,BNI1,Phosphorylation,,,,,
YBL016W,FUS3,YLR310C,CDC25,Phosphorylation,,,,,
YBL016W,FUS3,YPL049C,DIG1,Phosphorylation,,,,,
YBL016W,FUS3,YDR480W,DIG2,Phosphorylation,,,,,
YBL016W,FUS3,YJL157C,FAR1,Phosphorylation,,,,,
YBL016W,FUS3,YLR452C,SST2,Phosphorylation,,,,,
YBL016W,FUS3,YHR084W,STE12,Phosphorylation,,,,,
YBL016W,FUS3,YOR212W,STE4,Phosphorylation,,,,,
YBL016W,FUS3,YDR103W,STE5,Phosphorylation,,,,,
YBL016W,FUS3,YNL053W,MSG5,Phosphorylation,,,,,
YBL016W,FUS3,YBR083W,TEC1,Phosphorylation,,,,,
YDR283C,GCN2,YJR007W,SUI2,Phosphorylation,,,,,
YDR507C,GIN4,YKL048C,ELM1,Phosphorylation,,,,,
YDR507C,GIN4,YDL225W,SHS1,Phosphorylation,,,,,
YDR507C,GIN4,YCL032W,STE50,Phosphorylation,,,,,
YLR113W,HOG1,YLR058C,SHM2,Phosphorylation,,,,,
YLR113W,HOG1,YKL101W,HSL1,Phosphorylation,,,,,
YLR113W,HOG1,YLR248W,RCK2,Phosphorylation,,,,,
YLR113W,HOG1,YNL167C,SKO1,Phosphorylation,,,,,
YLR113W,HOG1,YGR192C,TDH3,Phosphorylation,,,,,
YLR113W,HOG1,YBR182C,SMP1,Phosphorylation,,,,,
YLR113W,HOG1,YBR072W,HSP26,Phosphorylation,,,,,
YLR113W,HOG1,YDR037W,KRS1,Phosphorylation,,,,,
YLR113W,HOG1,YLL043W,FPS1,Phosphorylation,,,,,
YLR113W,HOG1,YLR079W,SIC1,Phosphorylation,,,,,
YPL204W,HRR25,YNL027W,CRZ1,Phosphorylation,,,,,
YPL204W,HRR25,YER106W,MAM1,Phosphorylation,,,,,
YPL204W,HRR25,YPR007C,SPO69,Phosphorylation,,,,,
YPL204W,HRR25,YCL032W,STE50,Phosphorylation,,,,,
YPL204W,HRR25,YLR182W,SWI6,Phosphorylation,,,,,
YPL204W,HRR25,YMR153W,NUP53,Phosphorylation,,,,,
YKL101W,HSL1,YBR133C,HSL7,Phosphorylation,,,,,
