"List of most positive genetic interactions between proteins phosphatases and protein kinases.",,,,,,,,,,
"The kinase of interest (column A/B) is followed by the most positive genetic interaction score it has with a protein phosphatase (score: column C, kinase: column D/E), then the second most higherst score, then the third most highest score.",,,,,,,,,,
"Protein kinases","Protein kinase","highest score","highest score","highest score",2nd,2nd,2nd,3rd,3rd,3rd
ORF,"Gene name",score,ORF,gene,score,ORF,gene,score,ORF,gene
YHR135C,YCK1,2.9227,YKL190W,CNB1,1.4236,YMR036C,MIH1,1.1598,YGR123C,PPT1
YHR205W,SCH9,1.5031,YGR203W,YGR203W,1.4354,YER134C,YER134C,1.4352,YOR208W,PTP2
YIL035C,CKA1,2.2072,YML016C,PPZ1,1.7669,YPL179W,PPQ1,1.5949,YNL099C,OCA1
YIL042C,YIL042C,1.9061,YMR120C,ADE17,1.7757,YBR276C,PPS1,1.032,YOR090C,PTC5
YIL095W,PRK1,2.1464,YNL233W,BNI4,1.6224,YFR040W,SAP155,1.2968,YDR293C,SSD1
YIL147C,SLN1,1.9792,YFR040W,SAP155,1.8364,YNR034W,SOL1,1.7306,YKR028W,SAP190
YJL057C,YJL057C,1.5001,YAR014C,BUD14,1.3282,YIL113W,SDP1,1.2982,YHR075C,PPE1
YJL095W,BCK1,2.0698,YCR079W,YCR079W,1.7455,YNL053W,MSG5,1.3623,YNL032W,SIW14
YJL106W,IME2,1.8673,YNL201C,PSY2,1.8503,YDL188C,PPH22,1.6631,YOR090C,PTC5
YJL141C,YAK1,2.7224,YDL047W,SIT4,2.202,YDL188C,PPH22,1.8831,YNL032W,SIW14
YJL164C,TPK1,1.9641,YDL047W,SIT4,1.3172,YNL201C,PSY2,1.2635,YDR293C,SSD1
YJL165C,HAL5,2.8821,YGL190C,CDC55,1.6181,YML016C,PPZ1,1.4981,YNR032W,PPG1
YJL187C,SWE1,1.5481,YML109W,ZDS2,1.3375,YIL153W,RRD1,1.1906,YKR019C,IRS4
YJR059W,PTK2,2.9254,YDL047W,SIT4,2.6161,YML109W,ZDS2,2.0098,YMR273C,ZDS1
YJR066W,TOR1,1.6711,YDL134C,PPH21,1.6216,YBR125C,PTC4,1.2192,YDR436W,PPZ2
YKL048C,ELM1,4.4916,YDL006W,PTC1,1.7558,YBR125C,PTC4,1.183,YMR277W,FCP1
YKL101W,HSL1,1.4845,YPL228W,CET1,1.3096,YMR261C,TPS3,1.2904,YOR090C,PTC5
YKL116C,PRR1,1.7532,YOR227W,YOR227W,1.7225,YOR208W,PTP2,1.5163,YNL099C,OCA1
YKL126W,YPK1,0.459,YDR475C,JIP4,0.4429,YML016C,PPZ1,0.4324,YGL190C,CDC55
YKL139W,CTK1,2.8149,YNL032W,SIW14,2.1482,YBR276C,PPS1,1.6575,YHR075C,PPE1
YKL161C,YKL161C,1.8519,YML016C,PPZ1,1.8466,YJL083W,TAX4,1.7807,YPL228W,CET1
YKL166C,TPK3,4.0005,YGL190C,CDC55,1.7849,YPL228W,CET1,1.1981,YMR120C,ADE17
YKL168C,KKQ8,1.6208,YDR293C,SSD1,1.5601,YOR227W,YOR227W,1.1873,YJL083W,TAX4
YKL171W,YKL171W,3.0293,YDR028C,REG1,2.4485,YOR227W,YOR227W,1.1447,YPL228W,CET1
YKL198C,PTK1,1.8707,YPL228W,CET1,1.7971,YBL056W,PTC3,1.7881,YNL099C,OCA1
YKL203C,TOR2,2.201,YBR125C,PTC4,0.8799,YLR019W,PSR2,0.7508,YGR123C,PPT1
YLR096W,KIN2,1.4994,YGL190C,CDC55,1.0476,YKL190W,CNB1,0.9959,YDR028C,REG1
