kinase	target
KIN2	FSH1
KIN28	RAD23
KKQ8	RNR4
KSP1	YHR033W
KIN2	GSF2
KIN28	RPC19
KKQ8	RPL39
KIN2	KEL2
KIN28	RPP2B
KKQ8	SHE2
KIN2	PAA1
KIN28	RRP1
KKQ8	SIP5
KIN2	POL30
KIN28	RTT106
KKQ8	TIF2
KIN2	RPB8
KIN28	SCT1
KKQ8	YGR205W
KIN2	SER1
KIN28	SEC2
KKQ8	YHR182W
KIN2	UBP6
KIN28	SHP1
KKQ8	YKL091C
KIN2	YGR287C
KIN28	URA7
KKQ8	YMR196W
KIN2	YMR196W
KIN28	YGR021W
KIN2	YNR064C
KIN28	YJR097W
KIN2	YPT32
KIN28	YLR287C
KSS1	ABZ1
MCK1	ABZ1
MEK1	ABZ1
MKK1	BUD4
MPS1	ACK1
MRK1	DUT1
KSS1	ARA2
MCK1	AML1
MEK1	ALA1
MKK1	CLC1
MPS1	AIM33
MRK1	ELP2
KSS1	CAF16
MCK1	CDC11
MEK1	AML1
MKK1	COX5A
MPS1	AUT7
MRK1	GAL10
KSS1	CTA1
MCK1	CKB1
MEK1	ARA2
MKK1	CVT19
MPS1	HOP1
MRK1	UBA1
KSS1	GLN1
MCK1	LEU4
MEK1	ASK1
MKK1	DRS1
MPS1	IRC5
MRK1	YCR016W
KSS1	GSF2
MCK1	YJR129C
MEK1	ATE1
MKK1	FRS1
MPS1	NOB1
KSS1	MLS1
MCK1	YPR089W
MEK1	CTA1
MKK1	FYV11
MPS1	PML1
KSS1	NBA1
MEK1	CVT19
MKK1	NTA1
MPS1	RIM11
KSS1	NBA1
MEK1	FYV11
MKK1	PRS1
MPS1	SIS1
KSS1	NSL1
MEK1	GLN1
MKK1	RRP1
MPS1	TES1
KSS1	NSL1
MEK1	GSF2
MKK1	RTR1
MPS1	YBL055C
KSS1	PTC1
MEK1	GSY2
MKK1	WWM1
MPS1	YJL084C
KSS1	PTP1
MEK1	LEU4
MKK1	YDR203W
MPS1	YKL023W
KSS1	RNR4
MEK1	MLS1
MKK1	YDR374C
MPS1	YML045W-A
KSS1	SNU71
MEK1	PAC10
MKK1	YGR021W
MPS1	YMR114C
KSS1	YBL055C
MEK1	PFK1
MKK1	YIG1
MPS1	YPR115W
KSS1	YCL047C
MEK1	QRI1
MKK1	YLR287C
KSS1	YJR070C
MEK1	RIM4
KSS1	SEC17
KSS1	SIP5
KSS1	TIF2
KSS1	WWM1
KSS1	YGR287C
KSS1	YHR033W
KSS1	YJR070C
KSS1	YJR154W
KSS1	YNR064C
KSS1	YPL077C
NPR1	AIM10
PBS2	SMT3
PKH2	ARA2
PKH3	ARP8
PRR1	CTF4
PRR2	RAD23
NPR1	ALF1
PBS2	YCR016W
PKH2	BUD4
PKH3	CCT6
PRR1	RPL4A
NPR1	CDC48
PKH2	BUG1
PKH3	CSM3
PRR1	YCR016W
NPR1	CLC1
PKH2	CCT6
PKH3	CVT19
PRR1	YGR293C
NPR1	CTF4
PKH2	CLC1
PKH3	DRS1
NPR1	DPS1
PKH2	CRZ1
PKH3	FRS1
NPR1	GAL83
PKH2	CSM3
PKH3	FYV11
NPR1	MAK10
PKH2	CVT19
PKH3	MFT1
NPR1	PIB2
PKH2	DID4
PKH3	OCA1
NPR1	PRS1
PKH2	DRS1
PKH3	PAC10
NPR1	RIB2
PKH2	FRS1
PKH3	PRS1
NPR1	SBP1
PKH2	FYV11
PKH3	RIM4
NPR1	YAR1
PKH2	GCD1
PKH3	RNR4
NPR1	YDL173W
PKH2	GSY2
PKH3	RTR1
NPR1	YLR257W
PKH2	HYS2
PKH3	SHP1
NPR1	YPL077C
PKH2	LSP1
PKH3	TCI1
NPR1	MDM36
PBS2	YGR017W
NPR1	NNF1
PBS2	YGR021W
NPR1	PAC10
PBS2	YJR097W
NPR1	PRS1
PBS2	YJR154W
NPR1	RDS2
NPR1	RIM4
NPR1	RPP2B
NPR1	RPT5
NPR1	RSC6
NPR1	RTR1
NPR1	SCH9
NPR1	SHP1
NPR1	SHQ1
NPR1	SRC1
NPR1	TIF2
NPR1	YAP3
NPR1	YGR021W
NPR1	YJR070C
NPR1	YJR097W
NPR1	YPL077C
NPR1	YPT7
PRS5	BUD16
PSK2	ABZ1
PTK2	BNI5
RCK1	EKI1
RCK2	ACK1
RIM11	SDS22
PRS5	DUT1
PSK2	ALA1
PTK2	PSD2
RCK1	FSF1
RCK2	APN1
RIM11	TDA1
PRS5	EAF6
PSK2	ARA2
PTK2	SIP5
RCK1	GRE3
RCK2	AVO2
RIM11	YIL082W-A
PRS5	ELP2
PSK2	CTA1
PTK2	YBR074W
RCK1	GSF2
RCK2	YMR178W
PRS5	RPL4A
PSK2	EHT1
PTK2	YKR041W
RCK1	NBA1
PRS5	TIF34
PSK2	GLN1
RCK1	PGK1
PRS5	TRM112
PSK2	GRE3
RCK1	PTC1
PRS5	TRP3
PSK2	MLS1
RCK1	QRI1
PRS5	YKL023W
PSK2	PFK2
RCK1	RNA1
PRS5	YKR047W
PSK2	PFS2
RCK1	UBP10
PRS5	PGM1
PTK2	YJR119C
PRS5	QRI1
PRS5	RNR4
PRS5	SER1
PRS5	TIF2
PRS5	TOM70
PRS5	YHR214C-C
PRS5	YJR070C
PRS5	YNR064C
PRS5	YPL077C
RIO1	ALY1
RTK1	ARF3
SAT4	CDC11
SCH9	ARF3
SCY1	CCT6
SKM1	BNA1
RIO1	BFR1
RTK1	CDC54
SAT4	CDC40
SCH9	CKB1
SCY1	ERR2
SKM1	BUD16
RIO1	DIB1
RTK1	GSF2
SAT4	DYS1
SCH9	GRX4
SCY1	NOB1
SKM1	DUT1
RIO1	ECM31
RTK1	HCA4
SAT4	GRX4
SCH9	PHO4
SCY1	RBG2
SKM1	EAF6
RIO1	MAM33
RTK1	HNM1
SAT4	HCA4
SCH9	RIM4
SCY1	SEC2
SKM1	EHT1
RIO1	NOP53
RTK1	MPC54
SAT4	OSW2
SCH9	RPL8A
SCY1	YPR137C-B
SKM1	ELP2
RIO1	NOP53
RTK1	PFK1
SAT4	PTC1
SCH9	RRD1
SKM1	TRM112
RIO1	PAH1
RTK1	PFK2
SAT4	RAD2
SCH9	SKY1
SKM1	TRP3
RIO1	PHO4
RTK1	RPL1A
SAT4	RPL39
SCH9	UBC8
SKM1	YKR047W
RIO1	RKM4
RTK1	SET4
SAT4	SIP5
SCH9	WWM1
RIO1	RMS1
RTK1	SKY1
SAT4	SNL1
SCH9	YEL028W
RIO1	SEC27
RTK1	YBL055C
SAT4	SYS1
SCH9	YJR097W
RIO1	SMP2
RTK1	YDL183C
SAT4	YDL177C
SCH9	YMR196W
RIO1	TIF11
RTK1	YDR132C
RIO1	VMA13
RTK1	YDR203W
RIO1	YEL028W
RIO1	YGL034C
RIO1	YJR129C
RIO1	YMR196W
SKS1	ELP2
SKY1	DBP2
SLT2	RPA34
SMK1	BNA1
SNF1	CCT6
SPS1	APN1
SKS1	EMI2
SKY1	LSB3
SLT2	IRC5
SMK1	HSV2
SNF1	CNM67
SPS1	ARF3
SKS1	MTD1
SKY1	SIP5
SLT2	USE1
SMK1	TRM112
SNF1	DST1
SPS1	CCT6
SKS1	OYE3
SKY1	YGR287C
SLT2	YPL077C
SMK1	UBA1
SNF1	GND2
SPS1	CDC40
SKS1	TRP3
SKY1	YIL082W-A
SMK1	YKR047W
SNF1	GSF2
SPS1	CKB1
SKS1	UBA1
SKY1	YJR119C
SNF1	NSG1
SPS1	CYC7
SKS1	YCR016W
SKY1	YMR114C
SNF1	PAC1
SPS1	DIB1
SKS1	YKL023W
SKY1	YOR309C
SNF1	POT1
SPS1	DOM34
SKS1	YPR174C
SMK1	PTH1
SNF1	DPS1
SKS1	RDS2
SKY1	GUS1
SKS1	RIB2
SKY1	MPC54
SKS1	RIM4
SKY1	RDS2
SKS1	RPS20
SKY1	RNA1
SKS1	SCP160
SKY1	SDS22
SKS1	SET5
SKY1	SSE1
SKS1	SIS1
SKY1	UBC6
SKS1	STI1
SKY1	UBP10
SKS1	STR3
SKY1	YBL036C
SKS1	SWM2
SKY1	YKL023W
SKS1	YBR096W
SKY1	YMR196W
SKS1	YCR072C
SKS1	YGR043C
SKS1	YHR214C-C
SKS1	YJR111C
SKS1	YKL091C
SKS1	YLR003C
SKS1	YLR132C
SKS1	YNL284C-A
SKS1	YPR158C-C
SSK2	ASK1
SSN3	CKB1
STE11	AIM10
STE20	CKB1
STE7	DIB1
SWE1	EAF6
SSK2	CLC1
SSN3	YMR196W
STE11	ANB1
STE20	DRS1
STE7	PFK1
SWE1	RPL4A
SSK2	CTA1
STE11	GRX4
STE20	YIG1
STE7	YGR287C
SWE1	TRM112
SSK2	FYV11
STE11	HGH1
STE7	YIG1
SWE1	TRP3
SSK2	RPL8A
STE11	RDS2
SWE1	YKR047W
SSK2	SIP5
STE11	RIM11
SSK2	YGR287C
STE11	RPC19
SSK2	YHR182W
STE11	TIF2
SSK2	YJL019W
STE11	YIG1
SSK2	YLR287C
SSK2	YMR196W
TOS3	RAD23
TPK1	GRX4
TPK2	BCY1
TPK3	BUD14
VHS1	ACK1
YAK1	ADK2
TOS3	SIP5
TPK1	GSF2
TPK2	FTH1
TPK3	ELP2
VHS1	ACK1
YAK1	AMD1
TOS3	YJR154W
TPK1	YIG1
TPK2	PEX11
TPK3	RPL4A
VHS1	ARF3
YAK1	CDC40
TOS3	PEX19
TPK1	YJL070C
TPK2	BNA1
TPK3	COX15
TOS3	SIP5
TPK1	YKL023W
TPK2	CDC13
TPK3	CPR3
TOS3	SNL1
TPK1	YLR003C
TPK2	DIB1
TPK3	ESS1
TOS3	YNL198C
TPK2	FMP46
TPK3	IES5
TOS3	MPC54
TPK1	LCP5
TOS3	RIM4
TPK1	NOB1
TOS3	RMS1
TPK1	RDS2
TOS3	SDS22
TPK1	RPL23B
TOS3	SIP2
TPK1	RTR1
TOS3	SKY1
TPK1	SPS1
TOS3	UBP6
TPK1	UBP3
TOS3	UBP7
TPK1	VIP1
TOS3	YDL177C
TPK1	YBL055C
TOS3	YLR003C
TPK1	YKL023W
TOS3	YML045W-A
TPK1	YKL091C
TOS3	YPR115W
TPK1	YRA1
YBR028C	BUD16
YCK2	ACK1
YCK3	EMI2
YGK3	AIM10
YPK1	FAS1
YMR291W	ARP8
YBR028C	EAF6
YCK2	GUS1
YCK3	MES1
YGK3	ANB1
YPK1	GRX1
YMR291W	IWR1
YBR028C	RPL4A
YCK2	LPX1
YCK3	SSA2
YGK3	ARA2
YPK1	RAD53
YMR291W	PRE9
YBR028C	TRM112
YCK2	PUS4
YCK3	UBA1
YGK3	CPA2
YPK1	SPS1
YMR291W	PRS1
YBR028C	SOL1
YCK3	CRZ1
YPK1	RIM11
YBR028C	SRP1
YCK3	GRX4
YPK1	RTR1
YBR028C	VIP1
YCK3	GSY2
YPK1	SEC27
YBR028C	YGR168C
YCK3	NTF2
YPK1	UBC8
YBR028C	YKL091C
YCK3	PRS1
YPK1	VPS21
YBR028C	RIM11
YCK3	YPT32
YBR028C	SHP1
YBR028C	YIG1
YPL150W	ADH2
YPL150W	BUD16
YPL150W	CTA1
YPL150W	EMI2
YPL150W	FRDS1
YPL150W	GND1
YPL150W	HSV2
YPL150W	NNT1
YPL150W	RIB2
YPL150W	YJR096W
YPL150W	YOR238W
