P	Target
YPL042C	YDR507C
YBR160W	YER054C
YPL141C	YPL137C
YBR160W	YAL031C
YBR160W	YDR096W
YBR136W	YER133W
YBL088C	YER133W
YPL141C	YMR311C
YDL101C	YDL207W
YDL025C	YEL046C
YKL139W	YDR508C
YKL048C	YHR005C
YKL139W	YDL022W
YJL164C	YPR160W
YOR061W	YMR281W
YKL139W	YKL152C
YKL126W	YKR067W
YDL028C	YJR090C
YGR262C	YER174C
YNL307C	YFR015C
YNL307C	YLR258W
YPL031C	YLR258W
YGL134W	YLR258W
YKL139W	YEL017W
YBR160W	YMR192W
YPR119W	YMR192W
YBR160W	YOR070C
YBR160W	YDL234C
YBR160W	YJL165C
YNL307C	YJL165C
YBR160W	YOR358W
YCR008W	YDL223C
YJL128C	YDL223C
YNL032W	YDL223C
YOL045W	YDL223C
YNL307C	YDL223C
YIL042C	YDL223C
YDL188C	YDL223C
YBR160W	YDL223C
YBR276C	YDL223C
YFR014C	YDL223C
YNL298W	YDL223C
YBR160W	YDR458C
YPR119W	YDR458C
YIR026C	YBL032W
YHR135C	YBL032W
YBR160W	YOR227W
YDR477W	YOR227W
YDR523C	YBR009C
YPL153C	YBR009C
YIL035C	YNL030W
YOR061W	YNL030W
YGL019W	YNL030W
YOR039W	YNL030W
YNL032W	YPL127C
YDR477W	YBR010W
YER133W	YBR010W
YDR477W	YNL031C
YER133W	YNL031C
YJL128C	YLR113W
YER089C	YLR113W
YBL056W	YLR113W
YDL006W	YLR113W
YBR136W	YIL072W
YBL088C	YIL072W
YDR477W	YIL112W
YBR160W	YIL112W
YPR119W	YIL112W
YPL153C	YBR215W
YBR136W	YDR138W
YBL088C	YDR138W
YOR267C	YOR267C
YBR160W	YOL123W
YDL028C	YPL204W
YDL028C	YOL133W
YKL048C	YKL101W
YLR113W	YKL101W
YKL101W	YBR133C
YBR136W	YFL014W
YBL088C	YFL014W
YCR079W	YFL014W
YIL042C	YFL014W
YNL307C	YFL014W
YBR136W	YBR072W
YBL088C	YBR072W
YDL047W	YCR021C
YJL128C	YDR171W
YDL134C	YDR171W
YBR136W	YDR225W
YBR136W	YBL003C
YHL007C	YDR224C
YLR019W	YBL002W
YBR136W	YBL002W
YBL088C	YBL002W
YJL164C	YGL253W
YER133W	YGL253W
YDR028C	YGL253W
YBR160W	YHR094C
YLR113W	YHR094C
YNL298W	YMR295C
YBR059C	YBR157C
YBR160W	YJL146W
YBR136W	YFL013C
YBL088C	YFL013C
YBR136W	YOR189W
YBL088C	YOR189W
YKL166C	YFR017C
YFL033C	YNL157W
YDL188C	YHR132W-A
YBR160W	YHR132W-A
YPR119W	YHR132W-A
YMR139W	YJR094C
YFL029C	YJL106W
YOR061W	YLR309C
YBR136W	YGL150C
YBL088C	YGL150C
YBR160W	YNL106C
YPR119W	YNL106C
YBR160W	YOR109W
YPR119W	YOR109W
YBR136W	YLR095C
YBL088C	YLR095C
YPL209C	YPL209C
YBR160W	YPL209C
YPR119W	YPL209C
YBR160W	YPL242C
YPR119W	YPL242C
YHR079C	YHR079C
YLR361C	YHR079C
YDL101C	YIL026C
YKL139W	YBR086C
YKL126W	YBR086C
YBR160W	YBR245C
YBR160W	YOR304W
YBR136W	YOR304W
YBL088C	YOR304W
YPL153C	YGL133W
YJL128C	YDR475C
YBR160W	YPR141C
YPR119W	YPR141C
YBR160W	YCL055W
YBR160W	YPL269W
YLR210W	YPL269W
YPR120C	YPL269W
YBR160W	YHR158C
YPR119W	YHR158C
YBR160W	YHR102W
YPR119W	YHR102W
YDR477W	YDR122W
YBR160W	YLR096W
YPR119W	YLR096W
YFL029C	YDL108W
YKL048C	YOR233W
YBR160W	YOR233W
YPR119W	YOR233W
YBR160W	YKL168C
YDL159W	YGR040W
YKL198C	YHL003C
YPL031C	YOR171C
YNL289W	YOR171C
YDL127W	YOR171C
YBR136W	YOR123C
YBL088C	YOR123C
YML057W	YOR123C
YBR160W	YJR070C
YBR160W	YGL090W
YPR119W	YGL090W
YBR160W	YDR439W
YPR119W	YDR439W
YIL035C	YFR024C-A
YBR136W	YGR244C
YBL088C	YGR244C
YBR160W	YAL024C
YPR119W	YAL024C
YBR160W	YDL182W
YBR160W	YDL131W
YPL209C	YJL013C
YBR160W	YJL013C
YJL164C	YDR005C
YIL035C	YDR005C
YOR061W	YDR005C
YGL019W	YDR005C
YOR039W	YDR005C
YHR205W	YDR005C
YNL307C	YOL060C
YBR160W	YKL093W
YPL153C	YDL003W
YMR001C	YDL003W
YBR136W	YDL003W
YBL088C	YDL003W
YNL307C	YNL307C
YDL017W	YBL023C
YBR160W	YEL032W
YFR028C	YEL032W
YPR119W	YEL032W
YBR160W	YPR019W
YDL017W	YPR019W
YBR136W	YPR019W
YDL017W	YGL201C
YIL035C	YNL173C
YOL045W	YNL173C
YBR160W	YGL197W
YPR119W	YGL197W
YBR136W	YBR136W
YBL088C	YBR136W
YBR136W	YLR288C
YBL088C	YLR288C
YPL042C	YDL005C
YDL108W	YOR174W
YPR025C	YOR174W
YBR136W	YPL023C
YBL088C	YPL023C
YBR160W	YIL046W
YDL028C	YKL089W
YPL209C	YKL089W
YBR160W	YKL089W
YDR477W	YGL035C
YBR160W	YGL035C
YPR119W	YGL035C
YBR160W	YMR036C
YHR030C	YPL140C
YPL141C	YNL076W
YBR160W	YNL074C
YPR119W	YNL074C
YPL042C	YNL074C
YKL126W	YNL074C
YGR262C	YNL074C
YKL198C	YNL074C
YBR136W	YMR167W
YBL088C	YMR167W
YDL101C	YKR095W
YBR160W	YKR095W
YPL153C	YKR095W
YDL028C	YIL149C
YBR160W	YLL061W
YBR160W	YLR190W
YBR160W	YIL106W
YPR119W	YIL106W
YBR160W	YFL034C-B
YBR160W	YPL082C
YKL198C	YJR002W
YDR477W	YNR024W
YBR136W	YCL061C
YBL088C	YCL061C
YPL153C	YCL061C
YKL126W	YDR033W
YDL047W	YDR033W
YOL045W	YDR033W
YDL101C	YKL142W
YBR160W	YOR066W
YBR160W	YKR077W
YBR160W	YLR219W
YBR160W	YDR097C
YBR136W	YDR097C
YBL088C	YDR097C
YPR119W	YDR097C
