/home/WIN/cdegma/PKTFX/data/dream/lambda_01/5_2
loss	sse	Lt	Lp
4.55625	0.94309	23.78922	30.81710
4.54778	0.93527	23.79083	30.81519
4.54039	0.92891	23.78616	30.81359
4.53412	0.92705	23.77280	30.81650
4.52722	0.92235	23.77055	30.80958
4.52103	0.91619	23.77117	30.80798
4.51659	0.91306	23.75899	30.81304
4.50923	0.90671	23.75846	30.81294
4.50240	0.90555	23.74738	30.80630
4.49721	0.89984	23.74916	30.80598
4.49160	0.89645	23.74124	30.80771
4.48663	0.89094	23.74244	30.80162
4.48188	0.88765	23.73910	30.79830
4.47331	0.88228	23.73244	30.79640
4.47088	0.88019	23.72802	30.79634
4.46412	0.87477	23.72616	30.79549
4.46008	0.87424	23.71348	30.79416
4.45616	0.86801	23.72528	30.79181
4.45075	0.86450	23.71273	30.79260
4.44281	0.86233	23.70442	30.78984
4.43971	0.85888	23.70187	30.78710
4.43368	0.85555	23.69785	30.78421
4.42995	0.85084	23.70278	30.78325
4.42554	0.84850	23.69685	30.77996
4.42000	0.84482	23.68890	30.78026
4.41608	0.84056	23.68949	30.77623
4.41141	0.83984	23.67799	30.77486
4.40448	0.83583	23.67443	30.77095
4.40200	0.83306	23.67534	30.76668
4.39711	0.82913	23.67750	30.76378
4.39531	0.82756	23.67419	30.76401
4.38867	0.82453	23.66313	30.75807
4.38604	0.82285	23.65924	30.75535
4.38052	0.81926	23.66142	30.74927
4.37721	0.81680	23.65066	30.75212
4.37463	0.81469	23.65617	30.74645
4.37138	0.81126	23.65088	30.74380
4.36786	0.80889	23.64580	30.74249
4.36332	0.80573	23.65449	30.73929
4.36007	0.80435	23.63531	30.73676
4.35786	0.80225	23.64205	30.73152
4.35599	0.80012	23.64448	30.72655
4.35205	0.79736	23.64118	30.72224
4.34989	0.79689	23.64133	30.72062
4.34753	0.79292	23.63751	30.71912
4.34330	0.79130	23.63794	30.71050
4.33963	0.79008	23.62965	30.71051
4.33640	0.78849	23.62389	30.70507
4.33406	0.78630	23.62700	30.70301
4.33145	0.78403	23.61972	30.69721
4.32846	0.78289	23.61816	30.69142
4.32645	0.78159	23.61842	30.68634
4.32472	0.77979	23.61871	30.68320
4.32005	0.77659	23.61654	30.67633
4.31969	0.77490	23.61598	30.67630
4.31533	0.77298	23.61610	30.66803
4.31314	0.77315	23.60809	30.66465
4.31134	0.77008	23.61150	30.65908
4.30907	0.76944	23.60877	30.65529
4.30507	0.76719	23.60384	30.64989
4.30399	0.76464	23.60418	30.64743
4.30053	0.76418	23.60297	30.64101
4.29780	0.76351	23.59292	30.63504
4.29754	0.76179	23.59506	30.63193
4.29368	0.76012	23.59468	30.62320
4.29379	0.75745	23.59794	30.62299
4.29044	0.75675	23.59216	30.61576
4.28940	0.75603	23.59610	30.60986
4.28958	0.75588	23.59155	30.60745
4.28764	0.75260	23.60046	30.60269
4.28471	0.75360	23.58410	30.60083
4.28460	0.75245	23.59605	30.59124
4.28171	0.75018	23.58361	30.58937
4.27944	0.74896	23.59002	30.58156
4.27725	0.74902	23.58239	30.57743
4.27764	0.74464	23.60174	30.56951
4.27332	0.74714	23.57860	30.56755
4.27200	0.74569	23.57899	30.56205
4.27129	0.74238	23.58796	30.55926
4.26850	0.74274	23.58340	30.55218
4.26632	0.74265	23.57447	30.54824
4.26466	0.73924	23.57798	30.54600
4.26166	0.73936	23.57377	30.53546
4.26099	0.73767	23.57595	30.53192
4.25902	0.73686	23.57351	30.52957
4.25758	0.73549	23.57436	30.52360
4.25636	0.73573	23.57112	30.51677
4.25419	0.73521	23.56453	30.51279
4.25426	0.73337	23.56829	30.50926
4.25097	0.73144	23.56911	30.50680
4.25026	0.73133	23.56534	30.50054
4.24786	0.73081	23.56012	30.49593
4.24947	0.72894	23.57109	30.49498
4.24584	0.72905	23.55887	30.48773
4.24355	0.72651	23.56337	30.48412
4.24208	0.72728	23.55860	30.47832
4.24215	0.72626	23.55864	30.47440
4.24067	0.72414	23.56257	30.46738
4.23767	0.72343	23.55837	30.46264
4.23515	0.72259	23.55560	30.45560
4.23338	0.72111	23.55320	30.45242
4.23164	0.72001	23.55766	30.44492
4.22917	0.72117	23.54796	30.43870
4.22648	0.71722	23.55160	30.43576
4.22614	0.71761	23.55048	30.43105
4.22417	0.71664	23.55199	30.42271
4.22353	0.71538	23.54789	30.42351
4.22412	0.71469	23.55103	30.41949
4.22142	0.71364	23.54449	30.41253
4.21959	0.71251	23.55221	30.40707
4.21745	0.71128	23.54848	30.40024
4.21545	0.71167	23.53966	30.39539
4.21513	0.70879	23.55322	30.39365
4.21396	0.70868	23.54741	30.38872
4.21099	0.70731	23.54159	30.38382
4.20974	0.70711	23.53594	30.37849
4.20835	0.70507	23.54064	30.37756
4.20829	0.70511	23.53780	30.37205
4.20647	0.70390	23.54057	30.36580
4.20523	0.70253	23.53885	30.36158
4.20319	0.70212	23.53375	30.35677
4.20118	0.69992	23.53475	30.35040
4.20124	0.69963	23.53482	30.34857
4.19922	0.69972	23.53397	30.34153
4.19835	0.69890	23.53037	30.33678
4.19538	0.69797	23.52979	30.32972
4.19560	0.69578	23.53698	30.32797
4.19505	0.69629	23.53764	30.32417
4.19279	0.69418	23.52886	30.31937
4.19113	0.69373	23.52825	30.31527
4.19041	0.69258	23.52796	30.31281
4.18960	0.69248	23.53327	30.30131
4.18854	0.69041	23.53526	30.30084
4.18565	0.69039	23.52260	30.29531
4.18523	0.68892	23.53018	30.29060
