P	Target	Relationship
YBR136W	YHR040W	kinase
YBR136W	YHR056C	kinase
YBR136W	YHR154W	kinase
YBR136W	YHR164C	kinase
YBR136W	YIL072W	kinase
YBR136W	YIL126W	kinase
YBR136W	YIL130W	kinase
YBR136W	YJL092W	kinase
YBR136W	YJL098W	kinase
YBR136W	YJL173C	kinase
YBR136W	YJL176C	kinase
YBR136W	YJR006W	kinase
YBR136W	YJR035W	kinase
YBR136W	YJR060W	kinase
YBR136W	YJR089W	kinase
YBR136W	YKL058W	kinase
YBR136W	YKL112W	kinase
YBR136W	YKR008W	kinase
YBR136W	YLL036C	kinase
YBR136W	YLR095C	kinase
YBR136W	YLR135W	kinase
YBR136W	YLR146C	kinase
YBR136W	YLR153C	kinase
YBR136W	YLR175W	kinase
YBR136W	YLR176C	kinase
YBR136W	YLR265C	kinase
YBR136W	YLR277C	kinase
YBR136W	YLR288C	kinase
YBR136W	YLR335W	kinase
YBR136W	YLR357W	kinase
YBR136W	YLR399C	kinase
YBR136W	YLR418C	kinase
YBR136W	YLR437C	kinase
YBR136W	YML058W	kinase
YBR136W	YML061C	kinase
YBR136W	YML070W	kinase
YBR136W	YMR016C	kinase
YBR136W	YMR133W	kinase
YBR136W	YMR167W	kinase
YBR136W	YMR190C	kinase
YBR136W	YMR224C	kinase
YBR136W	YMR236W	kinase
YBR136W	YNL123W	kinase
YBR136W	YNL312W	kinase
YBR136W	YOL004W	kinase
YBR136W	YOR033C	kinase
YBR136W	YOR123C	kinase
YBR136W	YOR189W	kinase
YBR136W	YOR304W	kinase
YBR136W	YOR346W	kinase
YBR136W	YOR368W	kinase
YBR136W	YOR372C	kinase
YBR136W	YPL023C	kinase
YBR136W	YPL153C	kinase
YBR136W	YPL194W	kinase
YBR136W	YPR019W	kinase
YBR136W	YPR023C	kinase
YBR136W	YPR034W	kinase
YBR136W	YPR133C	kinase
YBR160W	YAL005C	kinase
YBR160W	YAL024C	kinase
YBR160W	YAL028W	kinase
YBR160W	YAL031C	kinase
YBR160W	YAL034C	kinase
YBR160W	YAL038W	kinase
YBR160W	YAL040C	kinase
YBR160W	YAL041W	kinase
YBR160W	YAR002W	kinase
YBR160W	YAR033W	kinase
YBR160W	YBL005W-A	kinase
YBR160W	YBL007C	kinase
YBR160W	YBL009W	kinase
YBR160W	YBL024W	kinase
YBR160W	YBL035C	kinase
YBR160W	YBL046W	kinase
YBR160W	YBL047C	kinase
YBR160W	YBL051C	kinase
YBR160W	YBL056W	kinase
YBR160W	YBL058W	kinase
YBR160W	YBL063W	kinase
YBR160W	YBL084C	kinase
YBR160W	YBL085W	kinase
YBR160W	YBL101C	kinase
YBR160W	YBL105C	kinase
YBR160W	YBR020W	kinase
YBR160W	YBR031W	kinase
YBR160W	YBR038W	kinase
YBR160W	YBR059C	kinase
YBR160W	YBR060C	kinase
YBR160W	YBR068C	kinase
YBR160W	YBR102C	kinase
YBR160W	YBR135W	kinase
YBR160W	YBR156C	kinase
YBR160W	YBR160W	kinase
YBR160W	YBR200W	kinase
YBR160W	YBR214W	kinase
YBR160W	YBR245C	kinase
YBR160W	YBR275C	kinase
YBR160W	YCL014W	kinase
YBR160W	YCL019W	kinase
YBR160W	YCL037C	kinase
YBR160W	YCL051W	kinase
YBR160W	YCL055W	kinase
YBR160W	YCL063W	kinase
YBR160W	YCR016W	kinase
YBR160W	YCR059C	kinase
YBR160W	YCR065W	kinase
YBR160W	YCR088W	kinase
YBR160W	YDL017W	kinase
YBR160W	YDL025C	kinase
YBR160W	YDL028C	kinase
YBR160W	YDL042C	kinase
YBR160W	YDL048C	kinase
YBR160W	YDL056W	kinase
YBR160W	YDL088C	kinase
YBR160W	YDL089W	kinase
YBR160W	YDL099W	kinase
YBR160W	YDL106C	kinase
YBR160W	YDL126C	kinase
YBR160W	YDL131W	kinase
YBR160W	YDL140C	kinase
YBR160W	YDL155W	kinase
YBR160W	YDL156W	kinase
YBR160W	YDL173W	kinase
YBR160W	YDL182W	kinase
YBR160W	YDL195W	kinase
YBR160W	YDL220C	kinase
YBR160W	YDL223C	kinase
YBR160W	YDL225W	kinase
YBR160W	YDL226C	kinase
YBR160W	YDL234C	kinase
YBR160W	YDR001C	kinase
YBR160W	YDR006C	kinase
YBR160W	YDR028C	kinase
YBR160W	YDR052C	kinase
YBR160W	YDR082W	kinase
YBR160W	YDR089W	kinase
YBR160W	YDR096W	kinase
YBR160W	YDR097C	kinase
YBR160W	YDR103W	kinase
YBR160W	YDR113C	kinase
YBR160W	YDR130C	kinase
YBR160W	YDR137W	kinase
YBR160W	YDR146C	kinase
YBR160W	YDR159W	kinase
YBR160W	YDR162C	kinase
YBR160W	YDR168W	kinase
YBR160W	YDR170C	kinase
YBR160W	YDR176W	kinase
YBR160W	YDR195W	kinase
YBR160W	YDR216W	kinase
YBR160W	YDR217C	kinase
YBR160W	YDR227W	kinase
YBR160W	YDR239C	kinase
YBR160W	YDR285W	kinase
YBR160W	YDR293C	kinase
YBR160W	YDR309C	kinase
YBR160W	YDR310C	kinase
YBR160W	YDR326C	kinase
YBR160W	YDR348C	kinase
YBR160W	YDR356W	kinase
YBR160W	YDR369C	kinase
YBR160W	YDR379W	kinase
YBR160W	YDR389W	kinase
YBR160W	YDR409W	kinase
YBR160W	YDR418W	kinase
YBR160W	YDR422C	kinase
YBR160W	YDR436W	kinase
YBR160W	YDR439W	kinase
YBR160W	YDR443C	kinase
YBR160W	YDR451C	kinase
YBR160W	YDR458C	kinase
YBR160W	YDR501W	kinase
YBR160W	YDR507C	kinase
YBR160W	YDR515W	kinase
YBR160W	YEL032W	kinase
YBR160W	YEL043W	kinase
YBR160W	YEL061C	kinase
YBR160W	YER032W	kinase
YBR160W	YER033C	kinase
YBR160W	YER041W	kinase
YBR160W	YER054C	kinase
YBR160W	YER075C	kinase
YBR160W	YER079W	kinase
YBR160W	YER088C	kinase
YBR160W	YER093C	kinase
YBR160W	YER111C	kinase
YBR160W	YER114C	kinase
YBR160W	YER118C	kinase
YBR160W	YER120W	kinase
YBR160W	YER129W	kinase
YBR160W	YER149C	kinase
YBR160W	YER151C	kinase
YBR160W	YER155C	kinase
YBR160W	YER161C	kinase
YBR160W	YER167W	kinase
YBR160W	YER169W	kinase
YBR160W	YFL007W	kinase
YBR160W	YFL026W	kinase
YBR160W	YFL029C	kinase
YBR160W	YFL033C	kinase
YBR160W	YFL034C-B	kinase
YBR160W	YFL042C	kinase
YBR160W	YFR019W	kinase
YBR160W	YFR027W	kinase
YBR160W	YFR028C	kinase
YBR160W	YFR046C	kinase
YBR160W	YGL003C	kinase
YBR160W	YGL035C	kinase
YBR160W	YGL049C	kinase
YBR160W	YGL056C	kinase
YBR160W	YGL090W	kinase
YBR160W	YGL093W	kinase
YBR160W	YGL113W	kinase
YBR160W	YGL116W	kinase
YBR160W	YGL124C	kinase
YBR160W	YGL175C	kinase
YBR160W	YGL197W	kinase
YBR160W	YGR005C	kinase
YBR160W	YGR035C	kinase
YBR160W	YGR092W	kinase
YBR160W	YGR097W	kinase
YBR160W	YGR108W	kinase
YBR160W	YGR109C	kinase
YBR160W	YGR125W	kinase
YBR160W	YGR178C	kinase
YBR160W	YGR184C	kinase
YBR160W	YGR186W	kinase
YBR160W	YGR188C	kinase
YBR160W	YGR225W	kinase
YBR160W	YGR237C	kinase
YBR160W	YGR253C	kinase
YBR160W	YGR270W	kinase
YBR160W	YHL007C	kinase
YBR160W	YHL028W	kinase
YBR160W	YHL029C	kinase
YBR160W	YHR016C	kinase
YBR160W	YHR027C	kinase
YBR160W	YHR030C	kinase
YBR160W	YHR036W	kinase
YBR160W	YHR094C	kinase
YBR160W	YHR102W	kinase
YBR160W	YHR118C	kinase
YBR160W	YHR132W-A	kinase
YBR160W	YHR149C	kinase
YBR160W	YHR152W	kinase
YBR160W	YHR158C	kinase
YBR160W	YHR159W	kinase
YBR160W	YHR164C	kinase
YBR160W	YHR166C	kinase
YBR160W	YHR195W	kinase
YBR160W	YIL024C	kinase
YBR160W	YIL031W	kinase
YBR160W	YIL033C	kinase
YBR160W	YIL046W	kinase
YBR160W	YIL050W	kinase
YBR160W	YIL056W	kinase
YBR160W	YIL063C	kinase
YBR160W	YIL095W	kinase
YBR160W	YIL101C	kinase
YBR160W	YIL106W	kinase
YBR160W	YIL112W	kinase
YBR160W	YIL114C	kinase
YBR160W	YIL115C	kinase
YBR160W	YIL122W	kinase
YBR160W	YIL135C	kinase
YBR160W	YIL153W	kinase
YBR160W	YIR007W	kinase
YBR160W	YIR010W	kinase
YBR160W	YIR023W	kinase
YBR160W	YJL013C	kinase
YBR160W	YJL020C	kinase
YBR160W	YJL076W	kinase
YBR160W	YJL084C	kinase
YBR160W	YJL092W	kinase
YBR160W	YJL095W	kinase
YBR160W	YJL106W	kinase
YBR160W	YJL122W	kinase
YBR160W	YJL146W	kinase
YBR160W	YJL157C	kinase
YBR160W	YJL165C	kinase
YBR160W	YJL187C	kinase
YBR160W	YJL193W	kinase
YBR160W	YJL194W	kinase
YBR160W	YJL201W	kinase
YBR160W	YJR021C	kinase
YBR160W	YJR033C	kinase
YBR160W	YJR059W	kinase
