loss	sse	Lt	Lp	epoch	time
71936.45101	64373.22739	23520.06945	700.89967	127	2019-12-13T00:40:36.019
71717.91960	64137.79702	23541.99421	711.49988	130	2019-12-13T00:59:14.631
71496.11990	63913.42087	23563.27280	692.31771	133	2019-12-13T01:18:26.182
71290.33623	63699.04017	23583.75274	687.40966	136	2019-12-13T01:37:52.522
71091.60061	63495.22342	23603.40403	680.18900	139	2019-12-13T01:57:19.35
70922.16031	63299.85569	23622.28561	720.44227	142	2019-12-13T02:16:20.837
70745.70582	63113.84842	23640.16941	724.52200	145	2019-12-13T02:35:41.233
70566.62803	62936.33903	23657.25736	707.03696	148	2019-12-13T02:55:14.677
70398.87648	62766.41013	23673.82018	699.72616	151	2019-12-13T03:14:02.854
70238.28559	62603.12927	23689.71212	696.53119	154	2019-12-13T03:33:22.679
70083.67614	62446.09267	23705.08346	688.62445	157	2019-12-13T03:52:21.049
69955.15896	62296.24304	23719.79908	730.95958	160	2019-12-13T04:11:31.25
69813.61443	62151.90475	23734.06999	728.76669	163	2019-12-13T04:30:30.427
69672.55912	62013.46968	23747.79044	718.01294	166	2019-12-13T04:49:29.042
69539.68279	61879.91416	23761.17599	713.79307	169	2019-12-13T05:09:12.487
69404.34285	61750.94097	23774.18527	695.59737	172	2019-12-13T05:28:43.818
69276.34293	61627.18002	23786.58738	682.70185	175	2019-12-13T05:47:34.841
69183.50190	61507.66870	23798.39180	741.89906	178	2019-12-13T06:06:09.62
69068.79076	61392.38991	23809.64420	739.65882	181	2019-12-13T06:25:28.552
68949.07619	61281.47106	23820.69101	722.09960	184	2019-12-13T06:44:31.078
68833.21690	61173.76061	23831.31407	701.05208	187	2019-12-13T07:03:47.244
68738.07690	61070.10900	23841.48805	721.82520	190	2019-12-13T07:22:51.442
68637.73498	60969.29862	23851.53576	723.83231	193	2019-12-13T07:41:39.411
68544.58114	60871.88806	23861.09174	738.08486	196	2019-12-13T08:00:39.092
68448.16565	60777.47532	23870.40242	732.95929	199	2019-12-13T08:19:21.778
68350.72408	60686.00455	23879.14892	722.82749	202	2019-12-13T08:38:11.441
68253.25116	60597.97292	23887.47555	703.64302	205	2019-12-13T08:57:28.636
68167.82750	60512.02899	23895.91878	708.12201	208	2019-12-13T09:16:52.774
68081.49518	60428.85714	23903.93569	704.25095	211	2019-12-13T09:36:21.505
68017.89326	60348.26465	23911.60602	746.10018	214	2019-12-13T09:55:36.165
67941.80960	60270.17455	23918.97588	754.65387	217	2019-12-13T10:14:57.074
67859.14977	60193.41736	23926.29661	741.76976	220	2019-12-13T10:34:22.178
67770.41864	60119.90053	23933.10800	712.54877	223	2019-12-13T10:53:33.871
67702.33375	60048.94659	23939.44164	722.77797	226	2019-12-13T11:12:46.11
67624.72954	59979.24804	23945.93934	710.16703	229	2019-12-13T11:31:42.985
67568.13175	59911.70666	23951.96156	740.58125	232	2019-12-13T11:50:33.641
67503.03401	59846.05469	23957.66386	748.28141	235	2019-12-13T12:09:34.179
67427.96391	59781.71796	23963.42462	728.83073	238	2019-12-13T12:28:27.217
67356.94597	59719.50474	23969.01634	716.10625	241	2019-12-13T12:47:45.016
67292.70114	59659.01599	23974.48554	709.39601	244	2019-12-13T13:07:20.258
67227.20027	59599.43942	23979.79802	701.80714	247	2019-12-13T13:27:14.405
67192.65874	59542.16371	23984.87683	761.62225	250	2019-12-13T13:45:42.313
67134.78322	59486.73420	23989.61300	764.34193	253	2019-12-13T14:04:49.34
67062.14256	59432.23692	23994.08287	729.08980	256	2019-12-13T14:22:58.669
66996.83688	59379.15775	23998.48969	706.38470	259	2019-12-13T14:41:33.719
66949.76135	59327.55330	24002.67019	725.49934	262	2019-12-13T15:00:23.51
66896.40438	59276.98962	24006.72764	723.44631	265	2019-12-13T15:19:14.869
