loss	sse	Lp	epoch	time
5422892.47334	5839428.53551	14423.81182	107	2020-02-07T11:20:50.61
5384112.19736	5797362.81076	14424.41466	108	2020-02-07T11:47:12.492
5346073.55391	5756101.82625	14425.00960	109	2020-02-07T12:13:23.882
5308758.13811	5715625.87874	14425.59360	110	2020-02-07T12:40:00.197
5272147.69344	5675915.20508	14426.16621	111	2020-02-07T13:06:54.66
5236222.98745	5636948.87628	14426.72598	112	2020-02-07T13:33:26.023
5200963.14124	5598704.03218	14427.27918	113	2020-02-07T13:59:56.111
5166345.03184	5561155.53363	14427.82515	114	2020-02-07T14:26:06.169
5132343.64769	5524276.04774	14428.36252	115	2020-02-07T14:51:26.599
5098932.32326	5488036.57565	14428.89511	116	2020-02-07T15:16:36.9
5066083.77068	5452407.30832	14429.41751	117	2020-02-07T15:41:26.683
5033770.68722	5417358.69277	14429.92687	118	2020-02-07T16:05:44.866
5001967.14813	5382862.57708	14430.42647	119	2020-02-07T16:30:31.411
4970649.24073	5348893.23762	14430.91294	120	2020-02-07T16:54:58.922
4939795.96730	5315428.15664	14431.38725	121	2020-02-07T17:19:26.622
4909389.55162	5282448.47246	14431.84935	122	2020-02-07T17:44:06.57
4879415.69311	5249939.02151	14432.30294	123	2020-02-07T18:08:52.952
4849862.94056	5217888.02690	14432.75006	124	2020-02-07T18:33:16.672
4820722.38013	5186286.47768	14433.18964	125	2020-02-07T18:58:02.691
4791986.85828	5155127.33791	14433.62444	126	2020-02-07T19:22:38.072
4763650.27930	5124404.71303	14434.05515	127	2020-02-07T19:47:19.463
4735706.93193	5094113.09062	14434.47853	128	2020-02-07T20:11:57.941
4708151.04133	5064246.75585	14434.89466	129	2020-02-07T20:36:32.794
4680976.31985	5034799.43738	14435.30945	130	2020-02-07T21:01:33.649
4654176.02357	5005764.20062	14435.72491	131	2020-02-07T21:26:11.778
4627742.93779	4977133.55004	14436.13895	132	2020-02-07T21:50:31.203
4601669.80560	4948899.68590	14436.54884	133	2020-02-07T22:15:05.549
4575949.55014	4921054.83848	14436.95893	134	2020-02-07T22:39:24.292
4550575.64786	4893591.60287	14437.37069	135	2020-02-07T23:03:16.594
4525542.02413	4866503.19667	14437.78407	136	2020-02-07T23:27:03.535
4500843.48127	4839783.61178	14438.19913	137	2020-02-07T23:51:01.517
4476475.85595	4813427.63882	14438.61539	138	2020-02-08T00:14:30.242
