cancel	mean_k	vec	norm	lam	λB	λW	AUC_T	AUC_P	AUC_Tpos	AUC_Tneg	AUC_Ppos	AUC_Pneg	AUC_sum
false	true	false	1	2	0.01	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	true	false	1	2	0.01	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	false	false	1	2	0.01	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	false	false	1	2	0.01	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	true	true	2	2	0.01	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	true	true	2	2	0.01	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	false	true	2	2	0.01	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	false	true	2	2	0.01	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	true	false	2	2	0.01	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	true	false	2	2	0.01	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	false	false	2	2	0.01	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	false	false	2	2	0.01	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	true	true	0	3	0.01	0.0	1.0	0.5	1.0	1.0	0.5714285714285714	1.0	5.071428571428571
true	true	true	0	3	0.01	0.0	1.0	0.8333333333333334	1.0	1.0	1.0	0.1428571428571429	4.976190476190476
false	false	true	0	3	0.01	0.0	1.0	0.6666666666666667	1.0	1.0	0.8571428571428571	0.8571428571428571	5.3809523809523805
true	false	true	0	3	0.01	0.0	0.9500000000000001	0.75	1.0	0.9090909090909091	0.8571428571428571	0.2857142857142857	4.751948051948052
false	true	false	0	3	0.01	0.0	1.0	0.5833333333333334	1.0	1.0	0.8571428571428571	0.8571428571428571	5.2976190476190474
true	true	false	0	3	0.01	0.0	0.9	0.5	1.0	0.8181818181818181	0.7142857142857143	0.5714285714285714	4.503896103896104
false	false	false	0	3	0.01	0.0	0.9500000000000001	0.9166666666666666	1.0	1.0	1.0	1.0	5.866666666666667
true	false	false	0	3	0.01	0.0	1.0	0.75	1.0	1.0	0.8571428571428571	0.8571428571428571	5.464285714285714
false	true	true	1	3	0.01	0.0	0.9	0.33333333333333337	1.0	0.18181818181818177	0.4285714285714286	0.4285714285714286	3.2722943722943727
true	true	true	1	3	0.01	0.0	1.0	0.8333333333333334	1.0	1.0	1.0	0.8571428571428571	5.690476190476191
false	false	true	1	3	0.01	0.0	0.85	0.5	0.9090909090909091	1.0	0.4285714285714286	0.1428571428571429	3.8305194805194804
true	false	true	1	3	0.01	0.0	0.9500000000000001	0.75	1.0	0.9090909090909091	0.8571428571428571	0.8571428571428571	5.323376623376624
false	true	false	1	3	0.01	0.0	0.9500000000000001	0.6666666666666667	1.0	0.9090909090909091	1.0	0.7142857142857143	5.24004329004329
true	true	false	1	3	0.01	0.0	0.9500000000000001	0.6666666666666667	1.0	0.9090909090909091	0.1428571428571429	1.0	4.668614718614719
false	false	false	1	3	0.01	0.0	1.0	0.5833333333333334	1.0	1.0	0.8571428571428571	0.5714285714285714	5.011904761904762
true	false	false	1	3	0.01	0.0	1.0	0.5	1.0	1.0	0.7142857142857143	0.4285714285714286	4.642857142857143
false	true	true	2	3	0.01	0.0	0.9	0.5833333333333334	1.0	1.0	0.1428571428571429	0.1428571428571429	3.769047619047619
true	true	true	2	3	0.01	0.0	0.9500000000000001	0.75	1.0	1.0	0.0	0.1428571428571429	3.842857142857143
false	false	true	2	3	0.01	0.0	1.0	0.6666666666666667	1.0	1.0	0.8571428571428571	0.8571428571428571	5.3809523809523805
true	false	true	2	3	0.01	0.0	1.0	0.75	1.0	1.0	1.0	0.8571428571428571	5.607142857142857
false	true	false	2	3	0.01	0.0	1.0	0.5	1.0	1.0	1.0	0.5714285714285714	5.071428571428571
true	true	false	2	3	0.01	0.0	1.0	0.75	1.0	1.0	1.0	0.7142857142857143	5.464285714285714
false	false	false	2	3	0.01	0.0	1.0	0.75	1.0	1.0	0.7142857142857143	0.0	4.464285714285714
true	false	false	2	3	0.01	0.0	1.0	0.9166666666666666	1.0	0.09090909090909094	0.0	0.7142857142857143	3.7218614718614718
false	true	true	0	4	0.01	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	0.7142857142857143	5.380952380952381
true	true	true	0	4	0.01	0.0	1.0	0.75	1.0	1.0	1.0	1.0	5.75
false	false	true	0	4	0.01	0.0	0.85	0.8333333333333334	1.0	0.8181818181818181	0.1428571428571429	1.0	4.644372294372294
true	false	true	0	4	0.01	0.0	1.0	0.75	1.0	1.0	0.8571428571428571	1.0	5.607142857142858
false	true	false	0	4	0.01	0.0	1.0	0.6666666666666667	1.0	1.0	0.1428571428571429	0.7142857142857143	4.523809523809524
true	true	false	0	4	0.01	0.0	1.0	0.5833333333333334	1.0	1.0	0.8571428571428571	0.5714285714285714	5.011904761904762
false	false	false	0	4	0.01	0.0	1.0	1.0	1.0	1.0	1.0	1.0	6
true	false	false	0	4	0.01	0.0	1.0	0.33333333333333337	1.0	1.0	0.7142857142857143	0.4285714285714286	4.476190476190476
false	true	true	1	4	0.01	0.0	0.9	0.9166666666666666	1.0	0.9090909090909091	0.0	0.8571428571428571	4.582900432900432
true	true	true	1	4	0.01	0.0	0.85	0.5833333333333334	0.0	0.9090909090909091	0.4285714285714286	0.1428571428571429	2.913852813852814
false	false	true	1	4	0.01	0.0	1.0	0.9166666666666666	1.0	1.0	1.0	1.0	5.916666666666666
true	false	true	1	4	0.01	0.0	1.0	1.0	1.0	1.0	1.0	1.0	6
false	true	false	1	4	0.01	0.0	0.8	0.5833333333333334	0.8181818181818181	1.0	0.7142857142857143	0.0	3.9158008658008656
true	true	false	1	4	0.01	0.0	0.9500000000000001	0.8333333333333334	1.0	1.0	1.0	0.8571428571428571	5.64047619047619
false	false	false	1	4	0.01	0.0	1.0	0.75	1.0	1.0	0.8571428571428571	0.8571428571428571	5.464285714285714
true	false	false	1	4	0.01	0.0	0.8	0.5833333333333334	0.9090909090909091	0.9090909090909091	1.0	0.1428571428571429	4.344372294372294
false	true	true	2	4	0.01	0.0	0.75	0.8333333333333334	1.0	0.8181818181818181	0.2857142857142857	0.8571428571428571	4.544372294372295
true	true	true	2	4	0.01	0.0	0.9	0.5	1.0	0.9090909090909091	0.4285714285714286	0.7142857142857143	4.451948051948052
false	false	true	2	4	0.01	0.0	1.0	0.75	1.0	1.0	1.0	0.2857142857142857	5.035714285714286
true	false	true	2	4	0.01	0.0	1.0	1.0	1.0	1.0	1.0	1.0	6
false	true	false	2	4	0.01	0.0	1.0	0.9166666666666666	1.0	1.0	1.0	0.2857142857142857	5.2023809523809526
true	true	false	2	4	0.01	0.0	1.0	0.75	1.0	1.0	1.0	0.7142857142857143	5.464285714285714
false	false	false	2	4	0.01	0.0	0.9	0.5833333333333334	1.0	0.18181818181818177	0.1428571428571429	0.7142857142857143	3.5222943722943723
true	false	false	2	4	0.01	0.0	0.9500000000000001	0.4166666666666667	0.9090909090909091	1.0	0.7142857142857143	0.8571428571428571	4.8471861471861475
false	true	true	0	0	0.1	0.0	0.9	0.8333333333333334	0.9090909090909091	1.0	0.8571428571428571	1.0	5.4995670995671
true	true	true	0	0	0.1	0.0	1.0	0.33333333333333337	1.0	1.0	0.8571428571428571	0.2857142857142857	4.476190476190476
false	false	true	0	0	0.1	0.0	1.0	0.9166666666666666	1.0	1.0	1.0	1.0	5.916666666666666
true	false	true	0	0	0.1	0.0	1.0	0.5	1.0	1.0	0.8571428571428571	0.2857142857142857	4.642857142857142
false	true	false	0	0	0.1	0.0	1.0	0.5833333333333334	1.0	1.0	0.0	0.4285714285714286	4.011904761904762
true	true	false	0	0	0.1	0.0	1.0	0.5833333333333334	1.0	1.0	0.8571428571428571	0.8571428571428571	5.2976190476190474
false	false	false	0	0	0.1	0.0	1.0	0.8333333333333334	1.0	1.0	0.8571428571428571	1.0	5.690476190476191
true	false	false	0	0	0.1	0.0	1.0	1.0	1.0	1.0	0.1428571428571429	1.0	5.142857142857142
false	true	true	1	0	0.1	0.0	0.9500000000000001	0.6666666666666667	1.0	1.0	0.1428571428571429	0.5714285714285714	4.330952380952381
true	true	true	1	0	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	0.1428571428571429	0.0	3.8095238095238098
false	false	true	1	0	0.1	0.0	0.9500000000000001	0.75	0.9090909090909091	1.0	0.8571428571428571	1.0	5.466233766233767
true	false	true	1	0	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	0.8571428571428571	0.8571428571428571	5.3809523809523805
false	true	false	1	0	0.1	0.0	0.9	0.6666666666666667	1.0	0.9090909090909091	0.8571428571428571	0.2857142857142857	4.618614718614719
true	true	false	1	0	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	0.7142857142857143	5.380952380952381
false	false	false	1	0	0.1	0.0	1.0	0.4166666666666667	1.0	1.0	0.7142857142857143	0.8571428571428571	4.988095238095238
true	false	false	1	0	0.1	0.0	0.75	0.6666666666666667	0.7272727272727273	1.0	0.0	0.4285714285714286	3.5725108225108224
