t	r_T1	r_T2	r_P1	r_P2	r_O1	p_T1	p_T2	p_P1	p_P2	p_O1	ψ_T1	ψ_T2	ψ_P1	ψ_P2
135.2869896138266	1.0	0.06800627707300325	1.0	0.540288395629831	0.10282735924544928	1.0	0.19169074200670455	1.0	0.5402935422599674	0.16938434239924205	0.6263287009112098	0.11788472815638885	1.0	0.5403181586217725
136.2869896138266	1.0	0.06667482510331359	1.0	0.5402883956245769	0.10215971371213667	1.0	0.18849357151727877	1.0	0.5402934153287774	0.16786796520522468	0.6263287009112163	0.11603117307805072	1.0	0.5403174432587773
137.2869896138266	1.0	0.06536963463771844	1.0	0.5402883956195592	0.10151491582185196	1.0	0.18534470876783346	1.0	0.5402932915279595	0.16637108850386836	0.6263287009112224	0.11420226660886476	1.0	0.5403167449972925
138.2869896138266	1.0	0.06409018769538712	1.0	0.5402883956147675	0.10089233784419767	1.0	0.18224358024071358	1.0	0.540293170780315	0.16489378101216404	0.626328700911228	0.11239782327101527	1.0	0.5403160634312351
139.2869896138266	1.0	0.06283597651212157	1.0	0.5402883956101915	0.100291360449267	1.0	0.1791896139784548	1.0	0.5402930530105492	0.16343609575444512	0.6263287009112335	0.11061765381788387	1.0	0.540315398164082
140.2869896138266	1.0	0.06160650333884401	1.0	0.5402883956058214	0.09971137316939738	1.0	0.17618223980373013	1.0	0.5402929381452238	0.1619980706138833	0.6263287009112386	0.10886156548267087	1.0	0.5403147488086488
141.2869896138266	1.0	0.060401280244059066	1.0	0.5402883956016481	0.09915177481428568	1.0	0.17322088952851225	1.0	0.5402928261127119	0.1605797288814152	0.6263287009112434	0.10712936221854795	1.0	0.5403141149868711
142.2869896138266	1.0	0.059219828920212186	1.0	0.5402883955976626	0.09861197384161886	1.0	0.17030499715283007	1.0	0.5402927168431526	0.15918107980112572	0.6263287009112479	0.10542084493055034	1.0	0.5403134963295926
143.2869896138266	1.0	0.05806168049386743	1.0	0.5402883955938566	0.09809138868535167	1.0	0.1674339990534862	1.0	0.5402926102684078	0.15780211911118414	0.6263287009112521	0.10373581169941441	1.0	0.5403128924763573
144.2869896138266	1.0	0.056926375339629284	1.0	0.5402883955902218	0.09758944804373353	1.0	0.1646073341630907	1.0	0.5402925063220197	0.15644282957949757	0.6263287009112561	0.10207405799756415	1.0	0.5403123030752065
145.2869896138266	1.0	0.055813462897734714	1.0	0.5402883955867507	0.09710559112915286	1.0	0.16182444413975544	1.0	0.5402924049391695	0.15510318153331304	0.6263287009112599	0.10043537689744712	1.0	0.5403117277824809
146.2869896138266	1.0	0.054722501495242985	1.0	0.5402883955834358	0.09663926788182683	1.0	0.15908477352778233	1.0	0.5402923060566367	0.15378313338206262	0.6263287009112635	0.09881955927241795	1.0	0.5403111662626268
147.2869896138266	1.0	0.05365305817075235	1.0	0.5402883955802701	0.09618993914932122	1.0	0.1563877699096689	1.0	0.5402922096127597	0.1524826321328081	0.6263287009112668	0.0972263939903641	1.0	0.5403106181880065
148.2869896138266	1.0	0.05260470850257402	1.0	0.540288395577247	0.09575707683383743	1.0	0.15373288404974406	1.0	0.5402921155473978	0.15120161389770045	0.62632870091127	0.09565566810026617	1.0	0.5403100832387144
149.2869896138266	1.0	0.051577036440295175	1.0	0.5402883955743599	0.09534016400915296	1.0	0.15111957002973717	1.0	0.540292023801893	0.149940004392926	0.626328700911273	0.09410716701188149	1.0	0.5403095611023956
150.2869896138266	1.0	0.05056963413966432	1.0	0.5402883955716028	0.09493869500904832	1.0	0.14854728537657422	1.0	0.5402919343190343	0.1486977194286654	0.6263287009112758	0.09258067466873694	1.0	0.5403090514740698
151.2869896138266	1.0	0.04958210180073325	1.0	0.5402883955689698	0.09455217548899784	1.0	0.1460154911826855	1.0	0.5402918470430211	0.1474746653896428	0.6263287009112785	0.09107597371461347	1.0	0.540308554055959
152.2869896138266	1.0	0.048614047509191564	1.0	0.5402883955664554	0.09418012246284477	1.0	0.14352365221910005	1.0	0.5402917619194292	0.14627073970589274	0.626328700911281	0.08959284565370178	1.0	0.5403080685573189
153.2869896138266	1.0	0.04766508708083066	1.0	0.5402883955640542	0.09382206431612208	1.0	0.14107123704159377	1.0	0.5402916788951763	0.1450858313134178	0.6263287009112833	0.08813107100460524	1.0	0.5403075946942749
154.2869896138266	1.0	0.04673484390907552	1.0	0.540288395561761	0.09347754079762154	1.0	0.13865771809014946	1.0	0.5402915979184891	0.14391982110445545	0.6263287009112856	0.08669042944836278	1.0	0.5403071321896608
155.2869896138266	1.0	0.04582294881552378	1.0	0.5402883955595711	0.09314610299075261	1.0	0.1362825717819785	1.0	0.5402915189388714	0.14277258236711443	0.6263287009112877	0.08527069997066128	1.0	0.540306680772862
156.2869896138266	1.0	0.04492903990343277	1.0	0.5402883955574798	0.09282731326617313	1.0	0.13394527859834682	1.0	0.5402914419070719	0.14164398121417993	0.6263287009112897	0.08387166099840358	1.0	0.5403062401796627
157.2869896138266	1.0	0.04405276241409632	1.0	0.5402883955554826	0.09252074521711251	1.0	0.13164532316543895	1.0	0.5402913667750541	0.14053387700092518	0.6263287009112916	0.08249309053079483	1.0	0.5403058101520951
158.2869896138266	1.0	0.043193768586054476	1.0	0.5402883955535753	0.09222598357874852	1.0	0.1293821943294872	1.0	0.5402912934959659	0.1394421227318021	0.6263287009112933	0.08113476626510664	1.0	0.5403053904382941
159.2869896138266	1.0	0.04235171751708004	1.0	0.5402883955517539	0.0919426241329384	1.0	0.1271553852263857	1.0	0.5402912220241108	0.13836856545591603	0.626328700911295	0.07979646571727518	1.0	0.5403049807923533
160.2869896138266	1.0	0.041526275028887394	1.0	0.5402883955500145	0.09167027359954621	1.0	0.12496439334600139	1.0	0.5402911523149193	0.13731304665122152	0.6263287009112966	0.07847796633748583	1.0	0.5403045809741864
161.2869896138266	1.0	0.04071711353450972	1.0	0.5402883955483534	0.09140854951554966	1.0	0.12280872059138798	1.0	0.5402910843249207	0.13627540259740428	0.626328700911298	0.07717904562089399	1.0	0.5403041907493898
162.2869896138266	1.0	0.03992391190829213	1.0	0.5402883955467671	0.09115708010305243	1.0	0.12068787333310159	1.0	0.5402910180117165	0.13525546473744185	0.6263287009112994	0.07589948121362809	1.0	0.54030380988911
