"SUID","interaction","name","selected","shared interaction","shared name","WP","WT"
"282850","T","MAL63 (T) YEL009C","false","T","MAL63 (T) YEL009C",,"1.0"
"282851","T","MAL63 (T) YGR141W","false","T","MAL63 (T) YGR141W",,"1.0"
"282852","T","MATA1 (T) YOL110W","false","T","MATA1 (T) YOL110W",,"1.0"
"282853","T","MATA1 (T) YAL048C","false","T","MATA1 (T) YAL048C",,"1.0"
"282854","T","MATA1 (T) YCL021W-A","false","T","MATA1 (T) YCL021W-A",,"1.0"
"282855","T","MATA1 (T) YKL054C","false","T","MATA1 (T) YKL054C",,"1.0"
"282856","T","MATA1 (T) YDL217C","false","T","MATA1 (T) YDL217C",,"1.0"
"282857","T","MATA1 (T) YNL316C","false","T","MATA1 (T) YNL316C",,"1.0"
"282858","T","MATA1 (T) YDL227C","false","T","MATA1 (T) YDL227C",,"1.0"
"282859","T","MATA1 (T) YPL033C","false","T","MATA1 (T) YPL033C",,"1.0"
"282860","T","MATA1 (T) YDR402C","false","T","MATA1 (T) YDR402C",,"1.0"
"282861","T","MATA1 (T) YPL269W","false","T","MATA1 (T) YPL269W",,"1.0"
"282862","T","MATA1 (T) YER105C","false","T","MATA1 (T) YER105C",,"1.0"
"282863","T","MATA1 (T) YER106W","false","T","MATA1 (T) YER106W",,"1.0"
"282864","T","MATA1 (T) YIL166C","false","T","MATA1 (T) YIL166C",,"1.0"
"282865","T","MATA1 (T) YOR350C","false","T","MATA1 (T) YOR350C",,"1.0"
"282866","T","MATA1 (T) YKL005C","false","T","MATA1 (T) YKL005C",,"1.0"
"282867","T","MATA1 (T) YOR051C","false","T","MATA1 (T) YOR051C",,"1.0"
"282868","T","MATA1 (T) YBR199W","false","T","MATA1 (T) YBR199W",,"1.0"
"282869","T","MATA1 (T) YGR112W","false","T","MATA1 (T) YGR112W",,"1.0"
"282870","T","MATA1 (T) YNL314W","false","T","MATA1 (T) YNL314W",,"1.0"
"282871","T","MATA1 (T) YDR282C","false","T","MATA1 (T) YDR282C",,"1.0"
"282872","T","MATA1 (T) YIL108W","false","T","MATA1 (T) YIL108W",,"1.0"
"282873","T","MATA1 (T) YIR001C","false","T","MATA1 (T) YIR001C",,"1.0"
"282874","T","MATA1 (T) YKL190W","false","T","MATA1 (T) YKL190W",,"1.0"
"282875","T","MATA1 (T) YOL153C","false","T","MATA1 (T) YOL153C",,"1.0"
"282876","T","MATA1 (T) YHR127W","false","T","MATA1 (T) YHR127W",,"1.0"
"282877","T","MATA1 (T) YGR263C","false","T","MATA1 (T) YGR263C",,"1.0"
"282878","T","MATA1 (T) YCR081W","false","T","MATA1 (T) YCR081W",,"1.0"
"282879","T","MATA1 (T) YLR438W","false","T","MATA1 (T) YLR438W",,"1.0"
"282880","T","MATA1 (T) YDL130W-A","false","T","MATA1 (T) YDL130W-A",,"1.0"
"282881","T","MATA2 (T) YMR201C","false","T","MATA2 (T) YMR201C",,"1.0"
"282882","T","MATA2 (T) YAR018C","false","T","MATA2 (T) YAR018C",,"1.0"
"282883","T","MATA2 (T) YGL032C","false","T","MATA2 (T) YGL032C",,"1.0"
"282884","T","MATA2 (T) YMR203W","false","T","MATA2 (T) YMR203W",,"1.0"
"282885","T","MATA2 (T) YOL032W","false","T","MATA2 (T) YOL032W",,"1.0"
"282886","T","MATA2 (T) YGR075C","false","T","MATA2 (T) YGR075C",,"1.0"
"282887","T","MATA2 (T) YIR032C","false","T","MATA2 (T) YIR032C",,"1.0"
"282888","T","MATA2 (T) YFL026W","false","T","MATA2 (T) YFL026W",,"1.0"
"282889","T","MATA2 (T) YFL027C","false","T","MATA2 (T) YFL027C",,"1.0"
"282890","T","MATA2 (T) YBL014C","false","T","MATA2 (T) YBL014C",,"1.0"
"282891","T","MATA2 (T) YKL208W","false","T","MATA2 (T) YKL208W",,"1.0"
"282892","T","MATA2 (T) YKL209C","false","T","MATA2 (T) YKL209C",,"1.0"
"282893","T","MATA2 (T) YBL020W","false","T","MATA2 (T) YBL020W",,"1.0"
"282894","T","MATA2 (T) YDL144C","false","T","MATA2 (T) YDL144C",,"1.0"
"282895","T","MATA2 (T) YNR046W","false","T","MATA2 (T) YNR046W",,"1.0"
"282896","T","MATA2 (T) YAL056W","false","T","MATA2 (T) YAL056W",,"1.0"
"282897","T","MATA2 (T) YJR152W","false","T","MATA2 (T) YJR152W",,"1.0"
"282898","T","MATA2 (T) YGL237C","false","T","MATA2 (T) YGL237C",,"1.0"
"282899","T","MATA2 (T) YKR066C","false","T","MATA2 (T) YKR066C",,"1.0"
"282900","T","MATA2 (T) YPL266W","false","T","MATA2 (T) YPL266W",,"1.0"
"282901","T","MATA2 (T) YGL130W","false","T","MATA2 (T) YGL130W",,"1.0"
"282902","T","MATA2 (T) YLR397C","false","T","MATA2 (T) YLR397C",,"1.0"
"282903","T","MATA2 (T) YML001W","false","T","MATA2 (T) YML001W",,"1.0"
"282904","T","MATA2 (T) YMR157C","false","T","MATA2 (T) YMR157C",,"1.0"
"282905","T","MATA2 (T) YER049W","false","T","MATA2 (T) YER049W",,"1.0"
"282906","T","MATA2 (T) YIL015W","false","T","MATA2 (T) YIL015W",,"1.0"
"282907","T","MATA2 (T) YPR057W","false","T","MATA2 (T) YPR057W",,"1.0"
"282908","T","MATA2 (T) YDL161W","false","T","MATA2 (T) YDL161W",,"1.0"
"282909","T","MATA2 (T) YHR038W","false","T","MATA2 (T) YHR038W",,"1.0"
"282910","T","MATA2 (T) YGL067W","false","T","MATA2 (T) YGL067W",,"1.0"
"282911","T","MATA2 (T) YJR100C","false","T","MATA2 (T) YJR100C",,"1.0"
"282912","T","MATA2 (T) YGR112W","false","T","MATA2 (T) YGR112W",,"1.0"
"282913","T","MATA2 (T) YGR116W","false","T","MATA2 (T) YGR116W",,"1.0"
"282914","T","MATA2 (T) YGL005C","false","T","MATA2 (T) YGL005C",,"1.0"
"282915","T","MATA2 (T) YGL157W","false","T","MATA2 (T) YGL157W",,"1.0"
"282916","T","MATA2 (T) YML032C","false","T","MATA2 (T) YML032C",,"1.0"
"282917","T","MATA2 (T) YDR451C","false","T","MATA2 (T) YDR451C",,"1.0"
"282918","T","MATA2 (T) YDR297W","false","T","MATA2 (T) YDR297W",,"1.0"
"282919","T","MATA2 (T) YLR218C","false","T","MATA2 (T) YLR218C",,"1.0"
"282920","T","MATA2 (T) YLR222C","false","T","MATA2 (T) YLR222C",,"1.0"
"282921","T","MATA2 (T) YER022W","false","T","MATA2 (T) YER022W",,"1.0"
"282922","T","MATA2 (T) YCR009C","false","T","MATA2 (T) YCR009C",,"1.0"
"282923","T","MATA2 (T) YIR022W","false","T","MATA2 (T) YIR022W",,"1.0"
"282924","T","MATA2 (T) YOR004W","false","T","MATA2 (T) YOR004W",,"1.0"
"282925","T","MATA2 (T) YDL235C","false","T","MATA2 (T) YDL235C",,"1.0"
"282926","T","MCB (T) YOR008C","false","T","MCB (T) YOR008C",,"1.0"
"282927","T","MCB (T) YPR174C","false","T","MCB (T) YPR174C",,"1.0"
"282928","T","MCB (T) YCL010C","false","T","MCB (T) YCL010C",,"1.0"
"282929","T","MCB (T) YEL047C","false","T","MCB (T) YEL047C",,"1.0"
"282930","T","MCB (T) YKL045W","false","T","MCB (T) YKL045W",,"1.0"
"282931","T","MCB (T) YKL046C","false","T","MCB (T) YKL046C",,"1.0"
"282932","T","MCB (T) YNL233W","false","T","MCB (T) YNL233W",,"1.0"
"282933","T","MCB (T) YML071C","false","T","MCB (T) YML071C",,"1.0"
"282934","T","MCB (T) YMR016C","false","T","MCB (T) YMR016C",,"1.0"
"282935","T","MCB (T) YFL039C","false","T","MCB (T) YFL039C",,"1.0"
"282936","T","MCB (T) YGL050W","false","T","MCB (T) YGL050W",,"1.0"
"282937","T","MCB (T) YOL122C","false","T","MCB (T) YOL122C",,"1.0"
"282938","T","MCB (T) YMR017W","false","T","MCB (T) YMR017W",,"1.0"
"282939","T","MCB (T) YGR165W","false","T","MCB (T) YGR165W",,"1.0"
"282940","T","MCB (T) YER112W","false","T","MCB (T) YER112W",,"1.0"
"282941","T","MCB (T) YDR058C","false","T","MCB (T) YDR058C",,"1.0"
"282942","T","MCB (T) YNL298W","false","T","MCB (T) YNL298W",,"1.0"
"282943","T","MCB (T) YDL106C","false","T","MCB (T) YDL106C",,"1.0"
"282944","T","MCB (T) YOL147C","false","T","MCB (T) YOL147C",,"1.0"
"282945","T","MCB (T) YER188W","false","T","MCB (T) YER188W",,"1.0"
"282946","T","MCB (T) YDR353W","false","T","MCB (T) YDR353W",,"1.0"
"282947","T","MCB (T) YHL034C","false","T","MCB (T) YHL034C",,"1.0"
"282948","T","MCB (T) YMR179W","false","T","MCB (T) YMR179W",,"1.0"
"282949","T","MCB (T) YLR348C","false","T","MCB (T) YLR348C",,"1.0"
"282950","T","MCB (T) YPR075C","false","T","MCB (T) YPR075C",,"1.0"
"282951","T","MCB (T) YJL039C","false","T","MCB (T) YJL039C",,"1.0"
"282952","T","MCB (T) YLR350W","false","T","MCB (T) YLR350W",,"1.0"
"282953","T","MCB (T) YDR310C","false","T","MCB (T) YDR310C",,"1.0"
"282954","T","MCB (T) YJL045W","false","T","MCB (T) YJL045W",,"1.0"
"282955","T","MCB (T) YPL152W","false","T","MCB (T) YPL152W",,"1.0"
"282956","T","MCB (T) YPL153C","false","T","MCB (T) YPL153C",,"1.0"
"282957","T","MCB (T) YMR122W-A","false","T","MCB (T) YMR122W-A",,"1.0"
"282958","T","MCB (T) YOR075W","false","T","MCB (T) YOR075W",,"1.0"
"282959","T","MCB (T) YNL210W","false","T","MCB (T) YNL210W",,"1.0"
"282960","T","MCB (T) YJR048W","false","T","MCB (T) YJR048W",,"1.0"
"282961","T","MCB (T) YNL211C","false","T","MCB (T) YNL211C",,"1.0"
"282962","T","MCB (T) YKL112W","false","T","MCB (T) YKL112W",,"1.0"
"282963","T","MCB (T) YER111C","false","T","MCB (T) YER111C",,"1.0"
"282964","T","MCB (T) YJR055W","false","T","MCB (T) YJR055W",,"1.0"
"282965","T","MCB (T) YKL113C","false","T","MCB (T) YKL113C",,"1.0"
"282966","T","MCB (T) YKR044W","false","T","MCB (T) YKR044W",,"1.0"
"282967","T","MSE (T) YBR133C","false","T","MSE (T) YBR133C",,"1.0"
"282968","T","MSE (T) YJL122W","false","T","MSE (T) YJL122W",,"1.0"
"282969","T","MSE (T) YIL127C","false","T","MSE (T) YIL127C",,"1.0"
"282970","T","MSE (T) YGL184C","false","T","MSE (T) YGL184C",,"1.0"
"282971","T","MSE (T) YIR021W","false","T","MSE (T) YIR021W",,"1.0"
"282972","T","MSE (T) YGL162W","false","T","MSE (T) YGL162W",,"1.0"
"282973","T","SCB (T) YMR286W","false","T","SCB (T) YMR286W",,"1.0"
"282974","T","SCB (T) YDL170W","false","T","SCB (T) YDL170W",,"1.0"
"282975","T","SCB (T) YGR076C","false","T","SCB (T) YGR076C",,"1.0"
"282976","T","SCB (T) YFL045C","false","T","SCB (T) YFL045C",,"1.0"
"282977","T","SCB (T) YLR207W","false","T","SCB (T) YLR207W",,"1.0"
"282978","T","SCB (T) YKL113C","false","T","SCB (T) YKL113C",,"1.0"
"282979","T","SCB (T) YMR199W","false","T","SCB (T) YMR199W",,"1.0"
"282980","T","STRE (T) YBL077W","false","T","STRE (T) YBL077W",,"1.0"
"282981","T","STRE (T) YNL234W","false","T","STRE (T) YNL234W",,"1.0"
"282982","T","STRE (T) YBL105C","false","T","STRE (T) YBL105C",,"1.0"
"282983","T","STRE (T) YJL076W","false","T","STRE (T) YJL076W",,"1.0"
"282984","T","STRE (T) YPR128C","false","T","STRE (T) YPR128C",,"1.0"
"282985","T","STRE (T) YHR025W","false","T","STRE (T) YHR025W",,"1.0"
"282986","T","STRE (T) YLR327C","false","T","STRE (T) YLR327C",,"1.0"
"282987","T","STRE (T) YBR126C","false","T","STRE (T) YBR126C",,"1.0"
"282988","T","STRE (T) YCL040W","false","T","STRE (T) YCL040W",,"1.0"
"282989","T","STRE (T) YFR053C","false","T","STRE (T) YFR053C",,"1.0"
